국가별,항목,단위,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
중국,가연성 연료,,804316,879044,924070,944100,1020540,1116449,1176753,1338135.8,1580361.3,1795588.2,2047335.9,2369603,2722932.9,2731949.3,2982780,3331928.4,3833702,3892814,4247009.4,4400111,4284188.05,4437068.01,4754594.95,5096318,5220150,5330250,5805870,
중국,수력,,190577,187966,195983,208000,203810,222414,277432,287974,283681,353544,397017,435786,485264,585187,615640,722172,698945,872107,920291,1072882,1130270,1184048,1197865,1231787,1304440,1355210,1339000,
중국,원자력,,12833,14300,14418,14100,14950,16737,17472,25127,43342,50469,53088,54843,62130,68394,70134,73880,86350,97394,111613,132538,170789,213287,248100,294359,348350,366250,407520,
중국,풍력,,,,,,,,,,,,,,,,26900,44622,70331,95978,141197,159979,185766,237070,297230,365971,406030,466470,656100,
중국,태양열,,,,,,,,,,,,,,,,,,,,5564,25134,38776,61586,106338,177517,224460,260857,325760,
중국,기타,,,,,,,,,2763,3191,3709,2819,5494,11226,23223,46096,34558,23691,29260,5963,3634,4784,99,348,181,28,23,23,
키프로스,전체,,2497,2609,2728,2991,3139,3370,3551,3785,4052,4201,4377,4652,4871,5079,5215,5322,4929,4717,4290,4350,4533,4887,5004.365,5060.567,5141.491,4849.201,5119.423,
키프로스,가연성 연료,,2497,2609,2728,2991,3139,3370,3551,3785,4052,4201,4376,4651,4869,5076,5211,5284,4803,4510,4012,4084,4186,4515,4620.904,4640.034,4684.659,4313.185,4404.607,
키프로스,풍력,,,,,,,,,,,,0,0,0,0,0,31,114,185,231,182,221,226,211.448,221.04,238.565,240.408,246.478,
키프로스,태양열,,,,,,,,,,,,1,1,2,3,4,7,12,22,47,84,126,146,172.013,199.493,218.267,295.608,468.338,
조지아,전체,,8154,7187,7163,7671,7683,7424,6937,7257,7160,6924,7267,7599,8570,8453,8408,10058,10104,9698,10059,10371,10832.5,11573.7,11531.2,12148.6,11856.8,11159.8,12645.1,14246.62
조지아,가연성 연료,,2951,1187,1116,1299,1241,1564,1395,490,634,875,1031,2209,1754,1291,991,683,2212,2477,1788,2036,2378.7,2235.5,2233,2114.9,2840.4,2820.8,2379.6,3387.73
조지아,수력,,5203,6000,6047,6372,6442,5860,5542,6767,6526,6049,6236,5390,6816,7162,7417,9375,7892,7221,8271,8335,8453.8,9329.2,9210.4,9949.4,8931.7,8248.2,10182.1,10771.4
조지아,풍력,,,,,,,,,,,,,,,,,,,,,,,9,87.8,84.3,84.7,90.8,83.4,87.49
홍콩,전체,,27916,28440,28943,31414,29496,31329,32429,34312,35506,37129,38448,38613,38948,37990,38728,38292,39026,38752,39063,39803,37924,38154,36970,36565,36911,35189,37071,36186
홍콩,가연성 연료,,27916,28440,28943,31414,29496,31329,32429,34312,35506,37129,38448,38613,38948,37990,38728,38292,39026,38752,39063,39803,37924,38154,36970,36565,36911,35189,37071,36186
인도,전체,,418043,436879,465825,496924,536452,560842,579120,596633,633372,665986,697470,752454,813102,842531,899389,954539,973006,1035264,1193480,1308873,1354382,1432358,1490257,1521958,1576740,1533306.865,1610082,
인도,가연성 연료,,336967,357963,380044,400871,440840,467996,483981,510628,536851,559957,572415,610385,664143,700147,755656,795052,813625,860173,980599,1111341,1158338,1188280,1217575,1244959,1253707,1200659.865,1247823,
인도,수력,,72596,68919,74661,83003,80854,74362,73579,64104,75339,84723,101730,113720,120589,114337,106909,114486,103741,113855,141637,129353,121546,122507,126235,135164,156049,160909,162441,
인도,원자력,,7982,9071,10083,11923,13249,16902,19475,19390,17780,17011,17334,18802,16957,14713,18636,26266,32287,32871,34228,36102,37414,37916,38346,37813,46472,43029,47112,
인도,풍력,,498,926,1037,1127,1509,1582,2085,2511,3402,4295,5991,9547,11413,13334,18188,18735,23353,28365,33583,27057,30045,35530,38486,64294,69949,67418,77140,
인도,태양열,,,,,,,,,,,,,,,,,,,,3433,5020,7039,12578,24613,39728,50563,61291,75566,
인도,기타,,,,,,,,,,,,,,,,,,,,,,,35547,45002,,,,,
