국가별,항목,단위,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
필리핀,수력,,6247,7046,6048,5100,7857,7816,7121,7050,7886,8610,8387,9956,8580.4326,9859.5337,9804.6,7820.4,9714.5,10269.1,10036.3,9154.3,8682.1,8127.9,9627.8,9400.8,8042.5,7209,9202.3,10085
필리핀,풍력,,,,,,,,0,0,0,0,55,55,57.8419,61.3857,64.4,61.7,88.2,75.3,65.7,152.1,748.4,975.2,1093.6,1152.9,1041.7,1026.4,1269.7,1030
필리핀,태양열,,,,,,,,,,,,,1,1.3094,1.3041,1.3,1.3,1.2,1.3,1.4,16.5,138.5,1097,1201.2,1249.1,1246.1,1372.6,1469.5,1822
필리핀,기타,,6135,6534,7237,8914,10594,11626,10442,10242,9822,10282,9902,10465,10214.6884,10722.7797,10323.8,9929.2,9942.3,10250,9604.6,10308.1,11043.7,11070.4,10270.1,10435.3,10690.8,10756.8,10681.4,10425
카타르,전체,,5976,6575,6869,8122,8584,9134,9951,10940,12012,13233,14396,17080,19462,21616,24158,28144,30730,34787,34668,38692,41499,42307,45555,47913,49872.691,49258.957,51641.331,
카타르,가연성 연료,,5976,6575,6869,8122,8584,9134,9951,10940,12012,13233,14396,17080,19462,21616,24158,28144,30730,34787,34668,38692,41499,42307,45555,47913,49872.691,49258.957,51641.331,
사우디아라비아,전체,,99833,103353,107289,107521,115420,126191.609,133674.609,141736.609,153000.609,159875.609,176124.609,181434.609,190535.609,204200.609,217082.609,240071.089,250082.392,271690.637,284051.475,311848.881,338376,345149,379442.82,359256.82,367815.69,367498,379045,
사우디아라비아,가연성 연료,,99833,103353,107289,107521,115420,126191,133674,141736,153000,159875,176124,181434,190535,204200,217082,240067,250077,271665,284009,311803,338330,345103,379373,359038,367341,366563,377682,
사우디아라비아,풍력,,,,,,,,,,,,,,,,,,,,,,,,4.82,4.82,5.69,6,409,
사우디아라비아,태양열,,,,,,,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,4.089,5.392,25.637,42.475,45.881,46,46,65,214,469,929,954,
싱가포르,전체,,22057,23458,26188,29022,30259,31665,33089,34664,35331,36810,38212.7,39480.4,41134.1,41671.3,41803.3,45371.1,46007.4,46949,47980.3,49347.8,50340.5,51732.6,52400.5,53141.6,54552,53582,56524,58349
싱가포르,가연성 연료,,22057,23458,26188,29022,30259,31665,33089,34664,35331,36810,38212.7,39480.4,41134.1,41670.3,41800.3,45366.1,45999.4,46936,47963.3,49309.8,50271.5,51586.6,52225.5,52904.6,54142,53080,55789,57113
싱가포르,태양열,,,,,,,,,,,,,,,1,3,5,8,13,17,38,69,146,175,237,410,502,735,1236
스리랑카,전체,,4800,4529,5145,5683,6185,6968.8,6801.352,7104.849,8125.34,8743.513,8851.304,9500.595,9901.786,10005.077,9989.268,10800.809,11599.706,11908.206,12059.815,12862,13226.6,14363.4,15004.2,15985.475,16629.5,15801.188,16715.727,14380
스리랑카,가연성 연료,,286,1277,1698,1768,2012,3761.6,3678.4,4398.6,4800.3,5767.9,5381.6,4846.8,5935.8,5854.5,6085.5,5095.8,6915.6,8438.6,4869.569,7985.69,6853.7,9720.7,10381.4,9072.112,11101.8,10259.803,8306,7639
스리랑카,수력,,4514,3252,3447,3915,4170,3203.8,3118.1,2700.3,3318.3,2968.7,3462.1,4645.3,3956.5,4139.2,3891.1,5644.6,4583.8,3302,6929.489,4562.89,5969.1,4220.7,4039.4,6400.734,4811.9,4976.351,7208,6741
스리랑카,풍력,,,,,,3,3.4,3.5,3.606,3.406,2.706,2.406,2.306,2.306,3.206,3.506,53.206,91.606,146.806,235.576,274.55,344.3,347,366.8,326.333,350.2,344.457,645.2,
스리랑카,태양열,,,,,,,,1.352,2.343,3.334,4.207,5.198,6.189,7.18,8.171,9.162,7.203,8.7,20.8,25.181,38.87,59.5,75,216.6,186.296,365.6,220.577,556.527,
시리아,전체,,15300,17278,18154,21159,22816,25217,26712,28040,30366,32137,36048,37453,38642,41023,43308,46413,41803,32237,25139,21223,17982,18136,18412.884,18164.358,17568.275,16365.155,16916.477,
시리아,가연성 연료,,12790,14728,15554,18459,20096,21986,23302,25589,27608,27962,31723,33508,35164,38154,41442,43821,38805,29281,22139,18883,17569,17207,17658.884,17410.358,16814.275,15611.155,16162.477,
시리아,수력,,2510,2550,2600,2700,2720,3231,3410,2451,2758,4175,4325,3945,3478,2869,1866,2592,2998,2956,3000,2340,413,929,754,754,754,754,754,
타지키스탄,전체,,14768,15000,14005,14422,15797,14247,14382,15302,16509,16491,17090,16935,17494,16205,16166,16436,16234,16998,17115,16472,17162,17232,18144,19742.6,20676.2,19734.4,20624,21399
타지키스탄,가연성 연료,,172,175,292,273,370,334,176,138,173,152,123,234,380,347,217,35,38,74,44,160,302,608,1011,1348,1507,1620,1657,1475
타지키스탄,수력,,14596,14825,13713,14149,15427,13913,14206,15164,16336,16339,16967,16701,17114,15858,15949,16401,16196,16924,17071,16312,16860,16624,17133,18394.6,19169.2,18114.4,18967,19924
태국,전체,,80084,89843,93226,90051.7,90038.8,95976.9,102419.8,109012.9,116982.9,125726.9,132197.3,138741.6,143378.2,147427.2,148390,159518,155680,165423,170113,172208,177227,188265,181939.678,182288.446,190681.344,188869.82,186889.01,198618
태국,가연성 연료,,73370,82500,86024,84873,86503,89949,96115,101540,109682,119685,126397,130614,135261,140309,141230,153953,147384,156034,163117,165194,170641,180891,171452.778,168326.046,175417.844,176452.26,174097,183770
태국,수력,,6713,7341,7200,5177,3534,6026,6303,7471,7299,6040,5798,8125,8114,7113,7148,5537,8195,8754,5610,5323,3878,3651,4833,7783,6446,4656.37,4687.35,6834
태국,풍력,,,,,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.8,0.9,0.2,0.2,1,3,5,141,305,305,329,345,1109.9,1641.4,3670.3,3124,3462.43,2988
태국,태양열,,,,,,,,,,,,,,1,3,9,23,95,493,1080,1385,2378,3377,4542.5,4536.6,5145.9,4636.09,4641.13,5026
태국,기타,,1,2,2,1.3,1.5,1.6,1.5,1.6,1.6,1.6,1.5,1.7,2,2,2,2,1,1,1,1,1,1,1.5,1.4,1.3,1.1,1.1,
튀르키예,전체,,86247,94862,103296,111022,116440,124922,122725,129400,140581,150698,161956,176299,191558,198418,194812,211208,229393,239496,240154,251963,261783,274408,297277.524,304801.884,303897.56,306703.093,334723.111,
튀르키예,가연성 연료,,50620,54303,63397,68703,81661,93888,98521,95524,105070,104442,122164,131753,155091,164074,156847,155717,171532,174760,171535,200079,178871,185085,211290.137,208733.275,174041.042,181525.912,221312.137,
튀르키예,수력,,35541,40475,39816,42229,34677,30879,24010,33683,35330,46084,39561,44244,35851,33270,35958,51796,52338,57865,59420,40645,67146,67231,58218.462,59938.425,88822.776,78094.369,55926.81,
튀르키예,풍력,,,,,5,21,33,62,48,61,58,59,127,355,847,1495,2916,4723,5860,7557,8520,11652,15517,17903.815,19949.206,21730.713,24828.222,31436.75,
튀르키예,태양열,,,,,,,,,,,,,,,,,,,,,17,194,1043,2889.302,7799.798,9249.828,10950.18,13942.86,
튀르키예,기타,,86,84,83,85,81,122,132,145,120,114,172,175,261,227,512,779,800,1011,1642,2702,3920,5532,6975.808,8381.18,10053.201,11304.41,12104.554,
투르크메니스탄,전체,,9818,10120,9498,9416,8860,9845,10610,10700,10800,11920,12820,13650,14880,15040,15980,16660,17220,17750,18870,20400,22534,22534,22534,22534,22534,22534,22534,
투르크메니스탄,가연성 연료,,9814,10115,9493,9410,8855,9845,10607,10697,10797,11917,12817,13647,14877,15040,15980,16660,17217,17747,18867,20397,22531,22531,22530.846,22530.846,22530.846,22530.846,22528.218,
투르크메니스탄,수력,,4,5,5,6,5,0,3,3,3,3,3,3,3,,,,3,3,3,3,3,3,3.154,3.154,3.154,3.154,5.782,
아랍에미리트,전체,,24982,26572,28464,33392,37126,39944,43172,46856,49450,52417,60698,66768,78761,80463,85698,93949,99137,106222,109995.4,116544.9,127383,129613,134568.7,136014.2,138454.1,137310.4,149052.9,
아랍에미리트,가연성 연료,,24982,26572,28464,33392,37126,39944,43172,46856,49450,52417,60698,66768,78761,80463,85698,93949,99137,106203,109920,116253.8,127091.5,129304,133834.9,134711.1,134674.3,131835.1,143301.2,
아랍에미리트,태양열,,,,,,,,,,,,,,,,,,,19,75.4,291.1,291.5,309,733.8,1303.1,3779.8,5475.3,5751.7,
우즈베키스탄,전체,,47453,45418,46054,45900,45300,46864,47500,49310,49400,50000,49200,50920,48950,49400,49950,51700,52400,52500,54618.63,55766.02,57413.803,58633.514,60322.953,62407.739,63021.193,66516.497,71413.646,
우즈베키스탄,가연성 연료,,41265,38893,40277,40142,39617,40985,41541,43124,41780,40990,40570,41760,42550,38040,40620,40854,42160,41290,48914.4,49691,50589.1,51773.4,52392.7,56510.22,56543.61,61501.51,66391.169,
우즈베키스탄,수력,,6188,6525,5777,5758,5683,5879,5959,6186,7620,9010,8630,9160,6400,11360,9330,10846,10240,11210,5704.23,6075.02,6824.7,6859.814,7929.553,5897.319,6461.993,4999.187,4972.277,
우즈베키스탄,풍력,,,,,,,,,,,,,,,,,,,,,,,,,,15.5,15.5,1.2,
우즈베키스탄,태양열,,,,,,,,,,,,,,,,,,,,,,0.003,0.3,0.7,0.2,0.09,0.3,49,
베트남,전체,,14648,16944,19152,21688,23559,26561,30608,35796,40925,46209,53656,60493,67008,73396,83175,95408,104336,117974,126798,140219,163494,181653,198499,213199,232602,240542.724,253498.401,
베트남,가연성 연료,,4066,4936,7475,10593,9785,12010,12398,17598,21939,28391,36711,40085,43973,47409,53184,67303,63061,64710,68536,78439,105979,116244,109354,128576,142200,156671.724,143728.401,
베트남,수력,,10582,12008,11677,11095,13774,14551,18210,18198,18986,17818,16945,20408,23035,25986,29981,28055,41188,53172,58170,61480,57254,65188,88875,84205,85097,73461,78633,
베트남,풍력,,,,,,,,,,,,,,,1,10,50,87,92,92,300,261,221,270,312,312,976,3346,
베트남,태양열,,,,,,,,,,,,,,,,,,,,,,,,,106,4993,9434,27791,
예멘,전체,,2422,2457,2557,2912,3136,3413,3643,3769,4096,4365,4768,5387,6027,6546,6750,7755,6207,7077,8505,7655,5762,4798,4050.241,3487.3,3276.635,2938.941,2914.673,
예멘,가연성 연료,,2422,2457,2557,2912,3136,3413,3643,3769,4096,4365,4768,5387,6027,6546,6750,7755,6204,7073,8501,7646,5646,4643,3856.491,3002.925,2792.26,2449.141,2424.597,
예멘,태양열,,,,,,,,,,,,,,,,,,3,4,4,9,116,155,193.75,484.375,484.375,489.8,490.076,
캐나다,전체,,560848,574021,574282,562385,579614,606217,590383,601738,590044,600341,621157,610383,628045,633192,608565,603042,633380,632108,657645,658705,657949,666045,663262,659061,652776,651458,642974,
캐나다,가연성 연료,,126874,125396,140844,158769,160040,174486,179870,175085,176714,168010,165474,156943,163812,155773,140994,148910,150674,141937,140273,141916,143861,143952,131690,134555,132277,125783,126266,
캐나다,수력,,336034,355758,350809,332001,345874,358620,333430,350665,337556,340946,362031,352963,367695,377561,368762,351461,375797,380340,391861,382574,382266,385505,394659,385967,381843,386617,382867,
캐나다,원자력,,97844,92767,82528,71511,73491,72799,76695,75526,74892,90387,92040,97964,93482,96020,90091,90658,93589,94862,103439,107280,101809,101429,101299,100731,101197,98195,92629,
캐나다,풍력,,59,62,62,62,164,264,337,408,826,954,1567,2473,3007,3788,6641,8724,10187,11310,18092,22538,26964,30930,31511,33468,32873,35761,34753,
캐나다,태양열,,4,6,7,10,13,16,19,22,23,13,17,21,26,35,109,255,572,881,1499,2120,2895,4030,3892,4107,4415,4790,6043,
캐나다,기타,,33,32,32,32,32,32,32,32,33,31,28,19,23,15,1968,3034,2561,2778,2481,2277,154,199,211,233,171,312,416,
멕시코,전체,,152248,157691,167493,182304,191510,205675,213988,218221,236217,237583,250768,257802,265272,269315,267754,275537,302751,307228,297326,301496,310712,320565,323124.092,357592,344839,317680,379696,
멕시코,가연성 연료,,110596,112630,125122,142735,143079,158394,171167,178096,199526,196577,204927,209736,219836,212973,223172,224639,248219,257001,247163,240279,253005,262310,261725.614,279724,267416,245464,294525,
멕시코,수력,,27528,31442,26431,24625,32782,33133,28502,24951,19880,25206,27709,30446,27340,39194,26718,37131,36247,31883,28002,38893,30815,30698,31981.3,32526,23716,26817,32869,
멕시코,원자력,,8443,7878,10456,9265,10002,8221,8726,9747,10502,9194,10805,10866,10421,9804,10501,5879,10089,8770,11800,9677,11577,10567,10883,13675,11190,11262,11923,
멕시코,풍력,,7,6,12,15,17,19,18,21,19,20,19,59,262,269,596,1239,1648,3688,4185,6426,8745,10378,10442,12877,16880,19702,20896,
멕시코,태양열,,5,6,6,7,7,7,8,8,8,9,9,10,9,19,27,31,41,69,106,221,239,464,1084,1363,7057,9115,13010,
멕시코,기타,,5669,5729,5466,5657,5623,5901,5567,5398,6282,6577,7299,6685,7404,7056,6740,6618,6507,5817,6070,6000,6331,6148,7008.178,17427,18580,5320,6473,
미국,전체,,3582114,3677022,3697728,3830489,3897518,4052667,3865307,4051120,4081764,4174856,4294368,4300831,4349841,4368261,4188215,4378430,4349463,4290660,4306371,4340371,4317159,4322038,4286428.741,4455438.712,4391760.501,4260043.501,4374676.38,
미국,가연성 연료,,2511487,2565046,2653622,2775008,2802706,2953983,2836138,2928244,2960065,3032176,3149290,3121205,3183440,3173013,2965173,3132755,3034500,3016908,2985891,2995556,2962870,2886040,2770053.956,2912041.254,2818743.197,2643837.736,2731127.333,
미국,수력,,337856,376702,358685,322080,301793,279986,214728,291755,305724,297894,297926,317689,275545,281995,298410,286333,344561,298287,290113,281527,271129,292113,325114.334,317004.02,310570.934,308212.917,274096.19,
미국,원자력,,713806,715212,666363,714124,771811,797718,792604,804519,787818,813339,810726,816195,836634,837804,830210,838931,821405,801129,822004,830584,830288,839918,838861.365,841328.625,843330.055,823149.528,811551.478,
미국,풍력,,3196,3410,3254,3018,4802,5650,6806,10459,11300,14291,17881,26676,34603,55696,74226,95148,120854,141922,169713,183892,192992,229471,257249.072,275834.468,298200.12,341818.283,382813.997,
미국,태양열,,828,906,897,890,689,709,785,830,848,965,1120,1287,1674,2092,2515,3942,6215,10145,15872,25764,35635,50334,70979.619,85184.441,97478.316,119328.543,151323.524,
미국,기타,,14941,15746,14907,15369,15717,14621,14246,15313,16009,16191,17425,17779,17945,17661,17681,21321,21928,22269,22778,23048,24245,24162,24170.395,24045.904,23437.879,23696.494,23763.858,
아르헨티나,전체,,67085,69902,73015,74456,81177,89200,90324,85055,92609,100260,107053,115197,107711,121927,122348.08,125594.09,129892,135207,140868,138551,145363,146353,145618,152224,145990,144924.34,153778.7,146315
아르헨티나,가연성 연료,,33033,39448,36858,40378,52367,54147,46170,43273,51124,61794,65842,69279,69726,83815,79856,84480,91592,98719,100763,90825,96159,99479,97257,102820,95389,99198.915,107628,97688
아르헨티나,수력,,26986,22985,28181,26592,21669,28841,37046,35888,33841,30525,34263,38157,30707,30740,34295,33918,31901,29716,33422,41335,41451,38028,41645,41430,36878,24261.679,20186,23580
아르헨티나,원자력,,7066,7459,7961,7453,7106,6177,7059,5821,7566,7869,6873,7691,7217,7330,8161,7171,6371,6395,6207,5756,7139,8285,6088,6453,7927,10706.824,10830.7,7955
아르헨티나,풍력,,,10,15,33,35,35,49,73,78,72,75,70,61,42,36,25,26,369,461,619,599,547,612,1413,4996,9412.333,12938,14164
아르헨티나,태양열,,,,,,,,,,,,,,,,0.08,0.09,2,8,15,16,15,14,16,108,800,1344.589,2196,2928
볼리비아,전체,,3061,3279,3472,3710,3881,3880,3981,4185,4391,4559.2,4913,5017,5450,5943,6230,6672,7118,7437,7839,8304,9032,9307,9616.68,9854.97,10171.9,9977.22,10833.66,
볼리비아,가연성 연료,,1756,1813,1907,2154,2095,1935,1852,1982,2362,2391,2949,2858,3131,3632,3932,4487,4768,5082,5300,6039,6552,7546,7316.89,7056.34,6662.5,6638.44,7126.66,
볼리비아,수력,,1305,1466,1565,1556,1786,1945,2129,2203,2029,2168.2,1964,2159,2319,2310,2296,2182,2347,2352,2535,2251,2463,1720,2233.57,2612.36,3251.2,2942.18,3236.83,
볼리비아,풍력,,,,,,,,,,,,,,,,,,,,1,8,12,35,60.4,58.84,70.2,64.2,119.6,
볼리비아,태양열,,,,,,,,,,,,,,,1,2,3,3,3,3,6,5,6,5.82,127.43,188,332.4,350.57,
브라질,전체,,275601,291244,307980,321748,334716,348909,328509,345671,364339,387451,402938,419336,445094,463120,466158,515798,531759,552498,570838,590542,581228,578897,589326,601396,626329,621198,656109.15,
브라질,가연성 연료,,19177,23046,25839,27014,37739,38460,46354,45743,45365,55043,55626,56777,58084,78758,60975,95809,85062,116068,157810,189498,185066,148549,159476,144815,149682,143017,189301.078,
브라질,수력,,253905,265769,278972,291469,293000,304403,267876,286092,305616,320797,337457,348805,374015,369556,390988,403289,428333,415342,390992,373439,359743,380911,370906,388971,397877,396328,362818.451,
브라질,원자력,,2519,2429,3169,3265,3977,6046,14279,13836,13358,11611,9855,13754,12350,13969,12957,14523,15659,16038,15450,15378,14734,15864,15739,15674,16129,14053,14704.588,
브라질,풍력,,,,,,,,,,,,,,645,837,1238,2177,2705,5050,6579,12211,21626,33488,42373,48475,55986,57050,72285.975,
브라질,태양열,,,,,,,,,,,,,,,,,,,,7,16,59,85,832,3461,6655,10750,16752.281,
브라질,기타,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.777,
칠레,전체,,28027,30733,33297,35509,38390,40078,42531,43671,46829,51208,52484,55320,58509,59704,60722,60434,65713,69751,73065,70753,75414,79335,79443.209,82339.01,84558.255,83993.528,88018.877,
칠레,가연성 연료,,9613,13892,14351,19565,24800,21562,21521,21399,25148,29222,25994,26184,35370,35473,35250,38273,44366,49184,52602,45440,48157,50973,50628.371,49952.463,50563.884,48330.888,50153.53,
칠레,수력,,18414,16841,18946,15944,13590,18516,21003,22265,21674,21979,26483,29129,23130,24193,25296,21717,21009,20158,19737,23099,23881,23274,21315.36,23366.769,22477.013,21873.09,19347.883,
칠레,풍력,,,,,,,,7,7,7,7,7,7,9,38,79,332,338,409,554,1443,2115,2449,3520.972,3587.895,4896.804,5602.3,7628.098,
칠레,태양열,,,,,,,,,,,,,,,,,,0,0,8,480,1261,2639,3914.706,5217.783,6418.554,7971.25,10565.366,
칠레,기타,,,,,,,,,,,,,,,,97,112,,,164,291,,,63.8,214.1,202,216,324,
콜롬비아,전체,,45246,44866,46378,45960,44139,43943,43684,45242,47682,50228,50411.59,53852,55314,61192,62574,60234,66472,68344,74001,72886.433,75138.997,74573.835,75124.73,78425.956,80415.465,79549.561,84428.404,
콜롬비아,가연성 연료,,13044,9333,14651,15178,10398,11869,11886,11274,11466,10120,10559,11047,10820,14900,21530,19669,17514,20689,23675,27935.642,30272.194,27605.141,17641.154,21562.755,25621.511,29361.295,23337.211,
콜롬비아,수력,,32202,35533,31727,30782,33741,32074,31798,33968,36216,40056,39803.11,42742,44445,46292,40986,40527,48917,47600,50260,44880.561,44798.426,46917.807,57475.505,56808.764,54593.646,49977.353,60695.714,
콜롬비아,풍력,,,,,,,,,0,0,52,49.48,63,49,0,58,38,41,55,58,70.23,68.377,50.887,3.071,43.437,63.324,10.117,60.462,
콜롬비아,태양열,,,,,,,,,,,,,,,,,,,,8,,,,5,11,136.984,200.796,335.017,
코스타리카,전체,,4863,4894,5589,5387,6177,6910,6941,7485,7566,8209,8259.5,8697.05278,9049.58333,9473.81111,9311.23889,9583.31944,9831.46139,10174.32417,10234.09361,10216.32111,10811.65333,10932.12623,11359.4547,11528.4055,11507.886,11729.932,12737.048,
코스타리카,가연성 연료,,752,424,180,446,137,77,116,175,417,350,341.81667,607.59167,801.20278,758.49167,574.58056,786.01111,1002.34194,1008.89417,1379.30195,1223.81417,287.39778,389.07583,237.0695,358.2691,295.435,216.522,193.992,
코스타리카,수력,,3620,3937,4789,4261,5135,5674,5654,5930,5923,6486,6565.56667,6600.89722,6768.61111,7386.10278,7224.45833,7262.29444,7134.62306,7233.2,6851.04417,6717.1525,8066.58472,8025.945,8676.961,8342.897,7826.661,8294.32,9285.714,
코스타리카,풍력,,0,0,0,89,101,183,185,259,306,257,203.61111,273.49722,241.06111,198.175,326.18333,358.675,414.47389,528.38222,484.56889,734.75333,1079.50806,1147.291,1287.679,1798.875,1796.344,1459.442,1573.3,
코스타리카,태양열,,23,23,76,,,,,,,,0.17222,0.17778,0.17778,0.17778,0.17778,0.25833,0.47972,1.29694,2.44333,2.46556,2.53389,30.2994,39.9132,59.7934,76.87,70.474,82.313,
코스타리카,기타,,468,510,544,591,804,976,986,1121,920,1116,1148.33333,1214.88889,1238.53055,1130.86388,1185.83889,1176.08056,1279.54278,1402.55084,1516.73527,1538.13555,1375.62888,1339.515,1117.832,968.571,1512.576,1689.174,1601.729,
쿠바,전체,,12459,13236,14146,14149,14492,15032,15300,15699,15811,15633,15341,16469,17622,17681,17727,17386.8,17759.4,18427.9,19156.4,19366.1,20288,20458.6,20558.1,20837,20705.7,19070.9,17965.5,15732.1
쿠바,가연성 연료,,12385,13141,14016,14052,14389,14943,15225,15593,15683,15545,15273,16375,17501,17543,17576,17278.5,17640.4,18295.3,19003.5,19224.8,20189.6,20334.3,20393.8,20523.7,20330.7,18698.2,17580.8,15370.4
쿠바,수력,,74,95,130,97,103,89,75,106,128,88,68,94,121,138,151,96.6,99.2,110.9,127.3,104.1,48.3,64.2,83,145.5,124.5,111.9,119.7,120.2
쿠바,풍력,,,,,,,,,,,,,,,,,11.7,17.8,20.7,22.6,19.1,21,21,21.1,43.5,65,67.808,68.9,62.79
쿠바,태양열,,,,,,,,,,,,,,,,,0,2,1,3,18.1,29.1,39.1,60.2,124.3,185.5,192.992,196.1,178.71
도미니카공화국,전체,,5477,6615,7236,10507.12,12313.38,13113.86,12806.7,13927.12,14279.4,11932.52,13253.17,14053.15,14478.06,14550.22,13674.7,14698.88,15671.55,16835.36,17648.19,17166.57,17921.97,18690.11,19036.32,19651,19856.836,19293.474,21313.634,
도미니카공화국,가연성 연료,,4873,5752,6571,9585.2,10932.71,12180.19,12068.56,12954.28,12905.61,10350.84,11356.61,12288.73,12797.8,13167.53,12220.76,13281.92,14142.93,14953.96,15521.19,15634.17,16654.37,16773.39,16309.45,17143.57,18121.233,16544.356,17865.278,
도미니카공화국,수력,,604,863,665,921.92,1380.67,933.67,738.14,972.84,1373.79,1581.68,1896.56,1764.42,1680.26,1382.69,1453.94,1416.96,1514.63,1784.5,1874.6,1270.9,945.2,1518.8,2196.4,1779.51,928.399,1176.206,1858.966,
도미니카공화국,풍력,,,,,,,,,,,,,,,0,0,0,13.99,95.8,243,243.2,290,322.8,390.4,497.48,551.661,1139,1231,
도미니카공화국,태양열,,,,,,,,,,,,,,,,,,0,1.1,9.4,18.3,32.4,75.12,140.07,230.44,255.543,433.912,358.39,
에콰도르,전체,,8429,9340,10362,10890,10308,10612,11050,11888,11546,12873,12717,14148,17336.678,18608.607,18264.608,19509.93,20544.098,22847.956,23260.34,24307.13,25950.15,27313.85719,28032.91256,29243.59082,32283.96346,31247.995,32214.24,33008.301
에콰도르,가연성 연료,,3268,2996,3828,4384,3131,3003,3979,4363,4365,5461,5834,7018,8298,7312.5,9036,10870.1,9407.6,10607.5,12161.18,12753.09,12719.06,11357.30642,7833.4263,8447.24894,7520.24058,6799.87347,6540.748,8274.044
에콰도르,수력,,5161,6344,6534,6506,7177,7609,7071,7525,7181,7412,6883,7130,9037.7,11293.4,9225.4,8636.4,11133.1,12237.73,11038.8,11457.86,13096.23,15833.84202,20088.60627,20678.00187,24640.57287,24333.26153,25574.611,24635.157
에콰도르,풍력,,,,,,,,,,,,,,0.96,2.68,3.2,3.43,3.34,2.4,56.7,79.7,98.8,83.95875,73.4,80.26,85.53,77.1,62.011,60.6
에콰도르,태양열,,,,,,,,,,,,,,0.018,0.027,0.008,0,0.058,0.326,3.66,16.48,36.06,38.75,37.48,38.08,37.62,37.76,36.87,38.5
에콰도르,기타,,,,,,,,,,,,,,,,,,,,,,,,-0.00001,0.00001,0.00001,,,
엘살바도르,전체,,3449,3547,3715,3998,3902,3721,3931,4149,4424,4502,4823,5655,5811,5968,5792,5984,6083,6237,6272,6263.4,6064.6,6088.9,5493.639,5358.91,6070.028,6349.54,6474.56,
엘살바도르,가연성 연료,,1535,1233,1800,1981,1537,1760,1801,2017,1932,2103,2103,2553,2690,2411,2763,2375,2538,2855,2922,2913,3095,3144.7,2082.96,1936.8,2581.86,1790,1888.03,
엘살바도르,수력,,1471,1883,1429,1566,1767,1175,1164,1139,1466,1388,1669,1962,1739,2038,1505,2084,2011,1847,1790,1792.8,1422.9,1344.3,1704.179,1630.6,1525.568,2084.32,1821.19,
엘살바도르,풍력,,,,,,,,,,,,,,,,,,,,,,,,,,,14.12,131.78,
엘살바도르,태양열,,,,,,,,,,,,,,,,,,,,,,7,24.4,137.4,246.21,488.6,904.1,1074.46,
엘살바도르,기타,,443,431,486,451,598,786,966,993,1026,1011,1051,1140,1382,1519,1524,1525,1534,1535,1560,1557.6,1539.7,1575.5,1569.1,1545.3,1474,1557,1559.1,
과테말라,전체,,3413,3696,4132,4456,5186,6048,5856,6191,6561,7456,7822,8163,8756,8718,9047,8893.3,8797.5,9337.18,10125.28,10637.87,11157.46,11788.81,12272.44,13567.903,14083.164,12835.018,14420.303,
과테말라,가연성 연료,,1509,1396,2029,2841,3104,3762,3929,4489,4056,3672,3877,4444,5462,4749,5718,4772.9,4376.1,4634.12,5254,5530.82,6769.39,7121.61,5816.3,7571.878,8854.8,6003.66,7954.2,
과테말라,수력,,1904,2300,2103,1615,2082,2286,1927,1702,2505,3784,3799,3556,3031,3675,2942,3849.4,4175.4,4457.43,4658.93,4853.35,3879.99,3971.19,5786.83,5218.465,4496.824,5966.263,5646.243,
과테말라,풍력,,,,,,,,,,,,,,,,,,,,,,107.29,215.07,218.06,319.5,220.8,317,325.29,
과테말라,태양열,,,,,,,,,,,,,,,,,,,,,7.1,149.26,191.8,198.2,208.31,198.74,222.095,229.6,
과테말라,기타,,,,,,,,,,,,146,163,263,294,387,271,246,245.63,212.35,246.6,251.53,289.14,253.05,249.75,312,326,264.97,
아이티,전체,,495,605,605,663,698,547,594,547,535,547,556,570,468,486,721,691,987,1101,1056,1034,1040,1086,1058.372,1048.481,1064.039,1028.926,1032.817,
아이티,가연성 연료,,242,333,405,357,293,264,311,287,280,287,291,299,314,305,514,514,866,879,914,943,955,1013,927.817,847.849,886.595,881.982,895.574,
아이티,수력,,253,272,200,306,405,283,283,260,255,260,265,271,154,181,207,177,121,221,141,90,83,71,127.342,197.188,174,143.5,133.8,
아이티,태양열,,,,,,,,,,,,,,,,,,,1,1,1,2,2,3.213,3.444,3.444,3.444,3.443,
온두라스,전체,,2838,2985,2429,3414,3184,3659,3917,4165,4530,4877,5548,5982,6316,6502,6881,7022,7607,7937,8274,8421,8978.3,9218.7,9385.2,9629.1,10585.859,10059.373,10956.798,11149.465
온두라스,가연성 연료,,745,827,1051,1491,1054,1399,1541,1710,2356,2529,3830,3912,4102,4211,4084,3942,4675,4812,5225,5421,5535,5505,4820,4252.9,5865.989,5231.522,4940.041,5228.1076
온두라스,수력,,2093,2158,1378,1923,2130,2260,2376,2455,2174,2348,1718,2070,2214,2291,2797,3080,2815,2787,2739,2602,2360.3,2246.2,2970.6,3157.5,2430.08,2700.64,3765.217,3882.6156
온두라스,풍력,,,,,,,,,,,,,,,,,,117,338,310,398,664.8,582.9,578.1,928.7,818.29,707.399,774.662,685.7971
온두라스,태양열,,,,,,,,,,,,,,,,,,,,,,418.2,884.6,923.9,992.9,1175.6,1112.812,1128.681,1015.7589
