국가별,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
몰타,4.7,4.8,5.1,5.4,5.6,6.7,6.6,6.8,7.1,7.1,7.3,7.5,7.9,8.2,8.1,8.5,8.6,8.9,9.4,10.1,11.1,11.5,12.7,13.7,14.6,13.4,15.1,16.3,17.3
몰도바,4.5,4.2,4.3,4,3.9,3.9,4.2,4.5,4.8,5.2,5.5,5.8,6,6.5,6.1,6.5,6.9,6.8,7.5,7.8,7.8,8.2,8.5,8.8,9.2,8.4,9.6,9.1,9.2
모나코,3.4,3.4,3.5,3.6,3.8,3.9,4,4,4.1,4.2,4.3,4.5,5.2,5.2,4.6,4.7,5,5.1,5.6,6,6.3,6.4,6.3,6.6,7.1,6.2,7.5,8.3,-
네덜란드,520.9,539.1,562.5,588.7,618.4,644.3,659.3,660.7,661.8,674.9,688.7,712.6,739.4,755.5,727.8,737.6,749,741.3,740.3,750.9,765.6,782.4,805.1,824.1,840.3,807.6,857.6,894.7,895.8
노르웨이,254.5,267.3,281.4,288.9,294.9,304.7,311,315.3,318.3,331,339.9,348.3,358.4,360.2,353.2,356,359.9,369.7,373.4,381.1,388.2,392.7,402.4,405.7,410.2,405,420.8,433.5,435.7
폴란드,217.2,230.5,245.4,256.8,268.7,281,284.5,290.3,300.5,315.4,326.5,346.5,371,386.6,397.5,409.2,429.8,436.4,440.2,457.1,477.1,491.2,516.5,547.2,571.5,560,598.8,632.5,633.6
포르투갈,158.3,163.9,171.1,179.3,186.3,193.4,197.2,198.7,196.8,200.3,201.9,205.2,210.3,211,204.4,208,204.4,196.2,194.3,195.9,199.4,203.4,210.6,216.6,222.4,203.9,215.6,230.3,235.5
루마니아,103.7,107.7,102.5,100.4,100,102.5,107.9,114,116.7,128.8,134.9,145.7,156.2,170.8,161.3,155,162,165.2,165.6,172.4,177.9,183,198,209.9,218,210,222,231.1,236
러시아,721.5,694.4,704.1,666.8,709.5,780.4,820.2,858.8,921.5,987.8,1051,1137.2,1233.9,1298.1,1196.8,1250.7,1304.4,1356.9,1380.8,1390.9,1363.5,1366.1,1391.1,1430.1,1461.6,1422.8,1502.6,1471.5,1524.5
산마리노,-,-,1.2,1.3,1.5,1.5,1.6,1.6,1.6,1.7,1.8,1.8,2,1.9,1.7,1.7,1.5,1.4,1.4,1.4,1.4,1.5,1.5,1.5,1.5,1.4,1.5,-,-
슬로바키아,40.4,43.1,45.7,47.5,47.5,48,49.6,51.8,54.7,57.6,61.4,66.6,73.8,77.9,73.7,78.6,80.7,81.8,82.3,84.5,88.9,90.6,93.3,97.1,99.5,96.2,100.8,102.6,104.3
슬로베니아,26.4,27.3,28.6,29.6,31.2,32.3,33.3,34.5,35.5,37.1,38.5,40.7,43.5,45.1,41.7,42.2,42.6,41.5,41,42.2,43.1,44.5,46.6,48.7,50.4,48.3,52.3,53.5,54.4
스페인,794.6,815.7,845.9,883.1,922.7,971.1,1009.3,1036.9,1067.8,1101.1,1141.3,1188.2,1231,1241.9,1195.2,1197.1,1187.4,1152.3,1136.1,1151.9,1196.2,1232.5,1269.2,1298.2,1323.9,1176.1,1251.4,1323.6,1356.7
스웨덴,305.8,310.7,320.2,334,348.2,364.8,370.1,378.2,387,403.7,415.3,434.6,449.6,447.6,428.1,453.6,468.1,465.4,470.9,483.4,505.1,515.6,528.8,539.1,549.8,537.9,571,586.2,585
스위스,473.6,475.8,486.6,501.3,509.7,529.8,538.2,537.8,537.6,552.1,567.3,590.4,613.6,630.8,616.3,636.3,647.8,655.5,667.2,682.9,694.1,708.5,718.1,738.7,747.1,731.1,770.5,790.3,796
우크라이나,77.2,69.4,67.4,66.1,65.9,69.8,76,80,87.7,98,101,108.7,117.6,120.2,102,106.2,112,112.1,112.2,100.9,91,93.3,95.5,98.8,101.9,98.1,101.5,72.3,76.1
영국,1915.2,1964.6,2061.4,2131.8,2197.1,2292,2351.1,2393.2,2468.5,2528.4,2597.7,2659.7,2729.4,2723.2,2597.5,2655.7,2686.1,2726.7,2775.6,2864.3,2927.9,2984.2,3063.4,3106.4,3157.4,2830.3,3075.8,3209.5,3212.8
몬테네그로,-,-,2.7,2.9,2.6,2.7,2.7,2.8,2.8,3,3.1,3.3,3.6,3.8,3.6,3.7,3.8,3.7,3.9,3.9,4.1,4.2,4.4,4.6,4.8,4,4.6,4.9,5.2
세르비아,21.2,22.5,24.2,25,22.6,24,25.7,27.3,28.5,31.1,32.8,34.5,36.7,38.7,37.7,38,38.7,38.5,39.6,39,39.7,41,41.8,43.7,45.6,45.2,48.7,49.9,51.2
알제리,92.7,96.5,97.5,102.5,105.8,109.8,113.1,119.2,127,132.7,139.8,143.9,148.4,152.1,153.9,161.3,166.1,170.1,174.5,181.7,187.5,194.8,197.7,200.5,202.3,192.2,199.5,206.7,215.1
앙골라,23.3,26.5,28.4,29.7,30.4,31.3,32.6,37.1,38.2,42.4,48.7,54.4,62,68.9,69.5,72.6,75.1,81.5,85.5,89.7,90.5,88.2,88,86.9,86.3,81.4,82.4,84.9,85.6
베냉,4.9,5.1,5.4,5.6,5.9,6.2,6.6,6.9,7.1,7.4,7.5,7.8,8.3,8.7,8.9,9.1,9.4,9.8,10.5,11.2,11.4,11.8,12.4,13.3,14.2,14.7,15.8,16.8,17.8
보츠와나,6.6,7,7.6,7.6,8.3,8.5,8.5,9,9.4,9.7,10.1,11,11.6,12,10.3,11.4,12.1,12.1,13.5,14.2,13.5,14.5,15.1,15.7,16.2,14.8,16.6,17.5,17.9
부르키나파소,3.7,4.1,4.4,4.7,5,5.1,5.4,5.7,6.1,6.4,7,7.4,7.7,8.1,8.4,9.1,9.7,10.3,10.9,11.4,11.8,12.5,13.3,14.2,15,15.3,16.4,16.7,17.2
부룬디,2.1,1.9,1.9,2,2,2,2,2.1,2.1,2.2,2.2,2.3,2.4,2.5,2.6,2.7,2.8,3,3.1,3.2,3.1,3.1,3.1,3.2,3.2,3.2,3.3,3.4,3.5
카메룬,13.9,14.5,15.1,15.8,16.5,17.2,17.9,18.7,19.7,21.1,21.6,22.4,23.4,24.1,24.7,25.4,26.2,27.5,28.8,30.5,32.2,33.7,34.9,36.2,37.5,37.6,38.9,40.2,41.9
카보베르데,0.5,0.6,0.6,0.7,0.8,0.9,0.9,1,1,1.1,1.2,1.3,1.5,1.6,1.6,1.6,1.7,1.7,1.7,1.7,1.7,1.8,1.9,2,2.1,1.7,1.8,2.1,2.2
중앙아프리카공화국,1.6,1.5,1.6,1.7,1.7,1.7,1.8,1.8,1.7,1.8,1.8,1.9,2,2.1,2.2,2.3,2.4,2.6,1.6,1.6,1.7,1.8,1.9,1.9,2,2,2,2,2.1
차드,2.8,2.8,3,3.2,3.2,3.1,3.5,3.8,4.4,5.8,6.8,6.9,7.1,7.3,7.6,8.7,8.7,9.4,10,10.7,11,10.3,10,10.2,10.5,10.4,10.2,10.5,11
코모로,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.9,0.9,0.9,1,1,1,1,1.1,1.1,1.1,1.1,1.1,1.2
콩고,5.8,6,6,6.2,6,6.5,6.7,7,7.1,7.3,7.9,8.5,8,8.5,9.5,10.4,10.6,11.7,11.6,12.4,12.4,11.4,10.7,10.5,10.6,9.9,10,10.2,10.4
콩고민주공화국,20.2,20,18.9,18.5,17.8,16.5,16.2,16.7,17.6,18.8,19.9,21,22.3,23.7,24.4,26.1,27.9,29.9,32.4,35.5,37.9,38.8,40.3,42.6,44.5,45.3,48.1,52.4,56.8
코트디부아르,24.5,26.4,28.9,30.1,30.5,30.4,29.8,28.9,27.6,28.4,28.7,29.5,29.9,31.3,32.4,34.6,32.8,35.3,39.1,42.7,45.8,49.1,52.7,55.3,59,59.4,63.6,67.6,72
지부티,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.1,2.3,2.4,2.6,2.7,2.9,3,3.1,3.2,3.3,3.5
이집트,136.2,143,150.9,159.3,168.9,179.7,186,190.5,196.6,204.6,213.8,228.4,244.6,262.1,274.3,288.4,293.5,300.1,306.6,315.6,329.4,343.7,358.1,377.1,398.1,412.2,425.8,453.8,470.9
적도기니,0.4,0.6,1.5,1.8,2.3,2.7,4.4,5.3,6,8.3,9.7,10.4,12,14.2,14.3,13.1,13.9,15.1,14.4,14.5,13.2,12,11.3,10.6,10.1,9.6,9.7,10,9.4
에리트레아,1.6,1.8,1.9,2,2,1.9,2.1,2.1,2.1,2.1,2.2,2.1,2.2,2,2,2.1,2.3,-,-,-,-,-,-,-,-,-,-,-,-
에티오피아,13.9,15.6,16.1,15.6,16.4,17.4,18.8,19.1,18.7,21.2,23.7,26.3,29.3,32.4,35.3,39.7,44.2,48,53.1,58.5,64.6,70.7,77.4,82.7,89.6,95.1,100.4,105.8,112.7
가봉,9.6,9.9,10.5,10.8,9.9,9.7,9.9,9.9,10.1,10.2,10.4,10.1,10.8,10.4,10.4,11.1,11.9,12.6,13.3,13.8,14.4,14.7,14.8,14.9,15.5,15.2,15.4,15.9,16.2
감비아,0.8,0.8,0.8,0.9,0.9,1,1,1,1.1,1.1,1.1,1.1,1.1,1.2,1.3,1.4,1.2,1.3,1.3,1.3,1.4,1.4,1.5,1.6,1.7,1.7,1.8,1.9,2
가나,16.2,17,17.7,18.5,19.3,20.1,20.9,21.8,22.9,24.2,25.7,27.3,28.5,31.1,32.6,35.2,40.1,43.8,47,48.4,49.4,51.1,55.2,58.6,62.5,62.8,66,68.5,70.5
기니,4.3,4.5,4.7,4.9,5.1,5.2,5.4,5.6,5.7,5.8,6,6.1,6.5,6.8,6.7,7,7.4,7.9,8.2,8.5,8.8,9.7,10.7,11.4,12.1,12.7,13.2,13.8,14.8
기니비사우,0.6,0.7,0.8,0.6,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,1,1.1,1,1.1,1.1,1.2,1.2,1.3,1.3,1.4,1.4,1.5,1.6,1.6
케냐,32.9,34.3,34.5,35.6,36.4,36.6,38,38.2,39.3,41.4,43.8,46.6,49.8,49.9,51.6,55.7,58.6,61.3,63.6,66.8,70.1,73.1,75.9,80.2,84.3,84,90.4,94.8,99.9
레소토,1.3,1.3,1.4,1.4,1.4,1.5,1.5,1.5,1.6,1.6,1.7,1.7,1.8,1.9,1.9,2,2.1,2.2,2.2,2.3,2.4,2.4,2.4,2.3,2.3,2.1,2.2,2.2,2.2
라이베리아,0.5,0.5,1.1,1.4,1.7,2.2,2.3,2.4,1.6,1.7,1.8,1.9,2.1,2.3,2.4,2.5,2.7,2.9,3.2,3.2,3.2,3.2,3.3,3.3,3.2,3.1,3.3,3.4,3.6
리비아,53.2,54.3,57.2,55.1,55.5,57.6,56.6,56,63.3,66.1,74,78.8,83.7,83.6,79.9,83.9,41.7,77.9,63.8,49.1,48.7,48,63.6,68.6,64.5,26.9,68.2,69.1,67.9
마다가스카르,6.4,6.5,6.8,7,7.4,7.7,8.1,7.1,7.8,8.2,8.6,9.1,9.6,10.3,9.9,9.9,10.1,10.4,10.6,11,11.3,11.8,12.2,12.6,13.2,12.2,12.9,13.4,14
말라위,3.9,4.2,4.4,4.5,4.7,4.7,4.5,4.6,4.8,5.1,5.3,5.5,6,6.5,7,7.5,7.9,8.1,8.5,9,9.2,9.4,9.8,10.3,10.8,10.9,11.2,11.3,11.5
말리,4.9,5.3,5.5,5.9,6.3,6.3,7.2,7.4,8.1,8.2,8.8,9.2,9.5,10,10.5,11,11.4,11.3,11.5,12.3,13.1,13.9,14.6,15.3,16,15.8,16.3,16.9,17.8
모리타니,3.3,3.5,3.3,3.4,3.5,3.4,3.4,3.4,3.7,3.8,4.2,4.9,4.8,4.8,4.8,5,5.2,5.4,5.6,5.9,6.2,6.2,6.6,7,7.2,7.1,7.2,7.7,7.9
모리셔스,5.1,5.4,5.7,6.1,6.2,6.7,7,7.1,7.5,7.8,8,8.3,8.8,9.3,9.6,10,10.4,10.8,11.2,11.6,12,12.5,13,13.5,13.9,11.9,12.3,13.3,14.3
모로코,45.4,51,50.2,53.8,54.7,56.2,60.5,62.8,66.6,69.7,71.9,77.5,80.2,84.7,87.9,91,96,98.9,103,105.8,110.4,111,116.6,120.2,123.7,114.8,124,125.5,129.5
모잠비크,3.4,3.7,4.2,4.6,5.2,5.2,5.9,6.4,6.9,7.5,8,8.7,9.4,10.1,10.7,11.4,12.2,13.1,14,15.1,16.2,17,17.4,18,18.4,18.2,18.7,19.5,20.4
나미비아,4.7,4.9,5.1,5.2,5.4,5.6,5.7,5.9,6.2,7,7.1,7.6,8,8.3,8.3,8.8,9.2,9.7,10.2,10.9,11.3,11.3,11.2,11.3,11.2,10.3,10.7,11.3,11.7
니제르,4.1,4.1,4.2,4.6,4.6,4.5,4.9,5.1,5.2,5.2,5.6,5.9,6.1,6.6,6.7,7.3,7.5,8.3,8.7,9.3,9.7,10.2,10.8,11.5,12.2,12.6,12.8,14.3,14.7
나이지리아,154.6,161.1,165.8,170.1,171.1,179.7,190.3,219.5,235.6,257.4,274,290.6,309.7,330.7,357.3,385.9,406.3,423.5,451.8,480.3,493,485.1,489,498.4,509.4,500.2,518.5,535.3,550.6
르완다,1.7,2,2.2,2.4,2.5,2.7,3,3.4,3.4,3.7,4,4.4,4.7,5.3,5.6,6,6.5,7.1,7.4,7.8,8.5,9.1,9.4,10.2,11.2,10.8,12,12.9,14
상투메프린시페,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
세네갈,8.5,8.7,8.9,9.5,10.1,10.5,10.9,10.9,11.5,12.1,12.6,12.9,13.2,13.7,14.1,14.6,14.8,15.4,15.7,16.7,17.8,18.9,20.3,21.6,22.6,22.9,24.4,25.3,26.2
세이셸,0.7,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1,1.1,1.1,1.1,1.1,1.2,1.2,1.3,1.3,1.4,1.6,1.7,1.8,1.9,1.7,1.7,1.9,2
시에라리온,1.8,1.8,1.7,1.8,1.7,1.8,1.7,2.2,2.4,2.5,2.6,2.8,3,3.1,3.2,3.5,3.7,4.2,5.1,5.3,4.3,4.5,4.7,4.9,5.1,5,5.2,5.4,5.6
소말리아,2,2.2,2.2,2.4,2.5,2.7,2.9,3.1,3.4,3.6,3.9,4.1,4.4,4.7,5,5.3,5.7,6.1,5.9,6.4,7,7.4,8.1,8.4,8.7,8.5,8.7,9,9.2
남아프리카공화국,193.2,201.5,206.7,207.8,212.8,221.7,227.7,236.1,243.1,254.1,267.5,282.5,297.7,307.2,302.5,311.7,321.5,329.2,337.4,342.2,346.7,349,353.1,358.6,359.5,338,353.9,360.7,362.9
남수단,-,-,-,-,-,-,-,-,-,-,-,-,-,20.2,21.2,22.4,21.3,11.5,13,13.4,12,-,-,-,-,-,-,-,-
수단,26.2,27.8,32.9,34.3,35.4,37.6,40.1,42.5,45.1,47.5,50.1,53.4,56.5,58.6,57,59.2,57.3,47.6,48.5,50.8,51.7,53.5,53.9,52.5,51.3,49.4,48.5,48.1,42.3
에스와티니,2.2,2.2,2.3,2.4,2.4,2.5,2.5,2.6,2.7,2.8,3,3.2,3.3,3.3,3.4,3.5,3.6,3.8,3.9,4,4.1,4.1,4.2,4.3,4.4,4.3,4.8,4.8,5.1
탄자니아,15,15.7,16.3,16.9,17.7,18.5,19.6,21,22.4,24.1,25.9,27.6,29.4,31.1,32.8,34.8,37.5,39.2,41.8,44.7,47.4,50.7,54.1,57.1,60.4,61.6,64.2,67.2,70.6
토고,2.8,3.1,3.5,3.4,3.5,3.5,3.5,3.7,3.9,3.9,3.7,3.8,3.7,3.9,4.1,4.3,4.6,4.9,5.2,5.5,5.8,6,6.2,6.5,6.9,7,7.4,7.8,8.3
튀니지,21.3,22.8,24,25.2,26.7,28,29,29.4,30.8,32.7,33.9,35.6,38,39.6,40.8,42.1,41.2,42.9,44,45.3,45.8,46.3,47.3,48.6,49.3,45.1,47.2,48.4,48.6
우간다,9.1,9.9,10.5,11,11.8,12.2,12.9,14,14.9,15.9,16.9,18.7,20.3,22.1,23.6,24.9,27.2,28.3,29.3,30.8,32.4,33.9,35,37.2,39.6,40.8,42.2,44.1,46.5
잠비아,6.7,7.2,7.4,7.4,7.8,8.1,8.5,8.9,9.5,10.2,10.9,11.7,12.7,13.7,15,16.5,17.4,18.8,19.7,20.6,21.3,22,22.8,23.7,24.1,23.4,24.9,26.2,27.7
짐바브웨,17.7,19.5,20.1,20.6,20.5,19.8,20.1,18.3,15.2,14.3,13.5,13,12.6,10.4,11.6,14.1,16.1,18.7,19.3,19.6,20,20.1,21,22,20.6,19,20.6,22,23.1
미국령사모아,-,-,-,-,-,-,-,0.7,0.8,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.6,0.7,0.7,0.7,0.6,0.6,0.6,0.7,0.7,0.7,-
오스트레일리아,707.8,735.1,763.9,799.5,839.7,872.6,890.3,925.7,954.3,994.7,1026,1054.3,1094.1,1133.3,1154.8,1180.5,1208.9,1256.3,1289,1322.6,1351.8,1389.3,1421.6,1462.9,1494.8,1489.8,1521.2,1586.2,1634
피지,3,3.1,3.1,3.1,3.4,3.3,3.4,3.5,3.5,3.7,3.8,3.8,3.8,3.8,3.8,3.9,4,4.1,4.2,4.5,4.7,4.8,5.1,5.2,5.2,4.3,4.1,4.9,5.3
프랑스령폴리네시아,5.1,5.1,5.1,5.1,5.2,5.4,5.4,5.4,5.6,5.6,5.6,5.7,5.8,5.8,5.5,5.4,5.2,5.2,5.2,5.2,5.3,5.5,5.7,5.8,6,5.5,5.6,5.9,-
괌,-,-,-,-,-,-,-,4.8,4.8,5.2,5.3,5.1,5.2,5.3,5.3,5.4,5.4,5.6,5.7,5.8,5.8,5.8,5.9,5.8,6,5.3,5.4,5.7,-
키리바시,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3
마셜제도,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
미크로네시아,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
나우루,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
뉴칼레도니아,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.7,-,-,-,-,-,-,-,-
뉴질랜드,102.9,106.6,108.8,109.8,115.7,119,123.1,128.9,135,140.5,145.2,149.2,153.8,151.9,151.8,154,157.4,161,165.5,171.7,178.1,184.8,191.1,197.7,202.4,201.6,210.7,216.6,217.9
북마리아나제도,-,-,-,-,-,-,-,1.6,1.6,1.6,1.4,1.3,1.2,1.1,0.9,0.9,0.8,0.8,0.8,0.9,0.9,1.2,1.4,1.2,1,0.7,-,-,-
팔라우,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2
파푸아뉴기니,11.1,12,11.5,11.1,11.3,11,11,11,11.2,11.5,12.3,12.9,13.9,13.9,14.8,16.3,16.5,17.3,18,20.4,21.7,22.9,23.7,23.7,24.7,23.9,23.8,25,25.6
사모아,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.9
솔로몬제도,0.9,0.9,0.9,0.9,0.9,0.8,0.7,0.7,0.7,0.8,0.8,0.9,0.9,1,1,1.1,1.2,1.2,1.3,1.3,1.3,1.4,1.4,1.5,1.5,1.4,1.5,1.5,1.6
통가,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-
투발루,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
바누아투,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.9,0.8,0.8,0.8,0.8
