,국가별,연도,value
223,인도네시아,1996,410.7
224,이란,1996,230.5
225,이라크,1996,45.3
226,이스라엘,1996,152
227,일본,1996,3904.3
228,요르단,1996,16
229,카자흐스탄,1996,58.8
230,쿠웨이트,1996,56.1
231,키르기스스탄,1996,2.9
232,라오스,1996,3.9
233,레바논,1996,24.4
234,마카오,1996,13.9
235,말레이시아,1996,129.1
236,몰디브,1996,1.5
237,몽골,1996,3.4
238,미얀마,1996,9.6
239,네팔,1996,11.2
240,오만,1996,40.2
241,파키스탄,1996,145.2
242,필리핀,1996,126.5
243,카타르,1996,20.7
244,사우디아라비아,1996,349.2
245,싱가포르,1996,115.1
246,스리랑카,1996,30.7
247,시리아,1996,19.1
248,타지키스탄,1996,2.2
249,태국,1996,225.7
250,튀르키예,1996,363.1
251,투르크메니스탄,1996,8.9
252,아랍에미리트,1996,161.9
253,우즈베키스탄,1996,26.5
254,베트남,1996,73.1
255,예멘,1996,33.8
256,버뮤다,1996,5.5
257,캐나다,1996,971.3
258,그린란드,1996,1.5
259,멕시코,1996,769.3
260,미국,1996,11525.7
261,앤티가바부다,1996,1
262,아르헨티나,1996,367.6
263,아루바,1996,2.3
264,바하마,1996,8.9
265,바베이도스,1996,3.9
266,벨리즈,1996,1
267,볼리비아,1996,15.3
268,브라질,1996,1090.4
269,케이맨제도,1996,-
270,칠레,1996,112.1
271,콜롬비아,1996,153.1
272,코스타리카,1996,24.9
273,쿠바,1996,39.5
274,도미니카연방,1996,0.4
275,도미니카공화국,1996,27.7
276,에콰도르,1996,48.4
277,엘살바도르,1996,16.1
278,그레나다,1996,0.5
279,과테말라,1996,31.4
280,가이아나,1996,2.7
281,아이티,1996,10.3
282,온두라스,1996,10.2
283,자메이카,1996,13.1
284,니카라과,1996,6.1
285,파나마,1996,17.3
286,파라과이,1996,20.7
287,페루,1996,79.1
288,푸에르토리코,1996,82.7
289,세인트키츠네비스,1996,0.5
290,세인트루시아,1996,1.3
291,세인트빈센트그레나딘,1996,0.5
292,수리남,1996,2.7
293,트리니다드토바고,1996,9.9
294,터크스케이커스제도,1996,-
295,미국령버진아일랜드,1996,-
296,우루과이,1996,33.1
297,알바니아,1996,5.2
298,안도라,1996,1.8
299,오스트리아,1996,274.9
300,벨라루스,1996,19.8
301,벨기에,1996,321.8
302,보스니아-헤르체고비나,1996,5.8
303,불가리아,1996,35.6
304,크로아티아,1996,35.8
305,체코,1996,120.8
306,덴마크,1996,233.2
307,에스토니아,1996,10.8
308,페로제도,1996,-
309,핀란드,1996,158.4
310,프랑스,1996,1796.2
311,독일,1996,2604.1
312,그리스,1996,173.3
313,헝가리,1996,79.3
314,아이슬란드,1996,9.6
315,아일랜드,1996,109.3
316,맨섬,1996,2.4
317,이탈리아,1996,1684.6
318,코소보,1996,-
319,라트비아,1996,12.7
320,리히텐슈타인,1996,-
321,리투아니아,1996,18.8
322,룩셈부르크,1996,31
323,북마케도니아,1996,5.8
324,몰타,1996,4.8
325,몰도바,1996,4.2
326,모나코,1996,3.4
327,네덜란드,1996,539.1
328,노르웨이,1996,267.3
329,폴란드,1996,230.5
330,포르투갈,1996,163.9
331,루마니아,1996,107.7
332,러시아,1996,694.4
333,산마리노,1996,-
334,슬로바키아,1996,43.1
335,슬로베니아,1996,27.3
336,스페인,1996,815.7
337,스웨덴,1996,310.7
338,스위스,1996,475.8
339,우크라이나,1996,69.4
340,영국,1996,1964.6
341,몬테네그로,1996,-
342,세르비아,1996,22.5
343,알제리,1996,96.5
344,앙골라,1996,26.5
345,베냉,1996,5.1
346,보츠와나,1996,7
347,부르키나파소,1996,4.1
348,부룬디,1996,1.9
349,카메룬,1996,14.5
350,카보베르데,1996,0.6
351,중앙아프리카공화국,1996,1.5
352,차드,1996,2.8
353,코모로,1996,0.5
354,콩고,1996,6
355,콩고민주공화국,1996,20
356,코트디부아르,1996,26.4
357,지부티,1996,-
358,이집트,1996,143
359,적도기니,1996,0.6
360,에리트레아,1996,1.8
361,에티오피아,1996,15.6
362,가봉,1996,9.9
363,감비아,1996,0.8
364,가나,1996,17
365,기니,1996,4.5
366,기니비사우,1996,0.7
367,케냐,1996,34.3
368,레소토,1996,1.3
369,라이베리아,1996,0.5
370,리비아,1996,54.3
371,마다가스카르,1996,6.5
372,말라위,1996,4.2
373,말리,1996,5.3
374,모리타니,1996,3.5
375,모리셔스,1996,5.4
376,모로코,1996,51
377,모잠비크,1996,3.7
378,나미비아,1996,4.9
379,니제르,1996,4.1
380,나이지리아,1996,161.1
381,르완다,1996,2
382,상투메프린시페,1996,0.1
383,세네갈,1996,8.7
384,세이셸,1996,0.8
385,시에라리온,1996,1.8
386,소말리아,1996,2.2
387,남아프리카공화국,1996,201.5
388,남수단,1996,-
389,수단,1996,27.8
390,에스와티니,1996,2.2
391,탄자니아,1996,15.7
392,토고,1996,3.1
393,튀니지,1996,22.8
394,우간다,1996,9.9
395,잠비아,1996,7.2
396,짐바브웨,1996,19.5
397,미국령사모아,1996,-
398,오스트레일리아,1996,735.1
399,피지,1996,3.1
400,프랑스령폴리네시아,1996,5.1
401,괌,1996,-
402,키리바시,1996,0.1
403,마셜제도,1996,0.2
404,미크로네시아,1996,0.3
405,나우루,1996,0.1
406,뉴칼레도니아,1996,-
407,뉴질랜드,1996,106.6
408,북마리아나제도,1996,-
409,팔라우,1996,0.2
410,파푸아뉴기니,1996,12
