,국가별,항목,단위,연도,value
96,필리핀,수력[exajoules],exajoules,1995,0.06634
97,카타르,전체[exajoules],exajoules,1995,0.56213
98,카타르,석탄[exajoules],exajoules,1995,
99,카타르,석유[100만 톤],100만 톤,1995,1.30181
100,카타르,천연가스[exajoules],exajoules,1995,0.50301
101,사우디아라비아,전체[exajoules],exajoules,1995,4.06802
102,사우디아라비아,석탄[exajoules],exajoules,1995,
103,사우디아라비아,석유[100만 톤],100만 톤,1995,60.22291
104,사우디아라비아,천연가스[exajoules],exajoules,1995,1.46821
105,싱가포르,전체[exajoules],exajoules,1995,1.40019
106,싱가포르,석탄[exajoules],exajoules,1995,0.00048
107,싱가포르,석유[100만 톤],100만 톤,1995,31.9754
108,싱가포르,천연가스[exajoules],exajoules,1995,0.0513
109,스리랑카,전체[exajoules],exajoules,1995,0.14666
110,스리랑카,석탄[exajoules],exajoules,1995,4e-05
111,스리랑카,석유[100만 톤],100만 톤,1995,2.28992
112,스리랑카,수력[exajoules],exajoules,1995,0.04805
113,대만,전체[exajoules],exajoules,1995,2.81707
114,대만,석탄[exajoules],exajoules,1995,0.69067
115,대만,석유[100만 톤],100만 톤,1995,36.26575
116,대만,천연가스[exajoules],exajoules,1995,0.15644
117,대만,수력[exajoules],exajoules,1995,0.05152
118,대만,원자력[exajoules],exajoules,1995,0.36075
119,태국,전체[exajoules],exajoules,1995,2.21424
120,태국,석탄[exajoules],exajoules,1995,0.30068
121,태국,석유[100만 톤],100만 톤,1995,33.8435
122,태국,천연가스[exajoules],exajoules,1995,0.38047
123,태국,수력[exajoules],exajoules,1995,0.07018
124,튀르키예,전체[exajoules],exajoules,1995,2.55638
125,튀르키예,석탄[exajoules],exajoules,1995,0.69241
126,튀르키예,석유[100만 톤],100만 톤,1995,28.945
127,튀르키예,천연가스[exajoules],exajoules,1995,0.23415
128,튀르키예,수력[exajoules],exajoules,1995,0.37834
129,투르크메니스탄,전체[exajoules],exajoules,1995,0.37537
130,투르크메니스탄,석탄[exajoules],exajoules,1995,0.00021
131,투르크메니스탄,석유[100만 톤],100만 톤,1995,2.36624
132,투르크메니스탄,천연가스[exajoules],exajoules,1995,0.27332
133,투르크메니스탄,수력[exajoules],exajoules,1995,4e-05
134,아랍에미리트,전체[exajoules],exajoules,1995,1.74554
135,아랍에미리트,석탄[exajoules],exajoules,1995,
136,아랍에미리트,석유[100만 톤],100만 톤,1995,20.63
137,아랍에미리트,천연가스[exajoules],exajoules,1995,0.87013
138,아랍에미리트,원자력[exajoules],exajoules,1995,
139,우즈베키스탄,전체[exajoules],exajoules,1995,1.82501
140,우즈베키스탄,석탄[exajoules],exajoules,1995,0.03735
141,우즈베키스탄,석유[100만 톤],100만 톤,1995,6.54
142,우즈베키스탄,천연가스[exajoules],exajoules,1995,1.44293
143,우즈베키스탄,수력[exajoules],exajoules,1995,0.06587
144,베트남,전체[exajoules],exajoules,1995,0.45775
145,베트남,석탄[exajoules],exajoules,1995,0.12965
146,베트남,석유[100만 톤],100만 톤,1995,4.86928
147,베트남,천연가스[exajoules],exajoules,1995,0.00505
148,베트남,수력[exajoules],exajoules,1995,0.11265
149,캐나다,전체[exajoules],exajoules,1995,12.17479
150,캐나다,석탄[exajoules],exajoules,1995,1.10244
151,캐나다,석유[100만 톤],100만 톤,1995,84.66962
152,캐나다,천연가스[exajoules],exajoules,1995,2.78107
153,캐나다,수력[exajoules],exajoules,1995,3.55612
154,캐나다,원자력[exajoules],exajoules,1995,0.99254
155,멕시코,전체[exajoules],exajoules,1995,5.18161
156,멕시코,석탄[exajoules],exajoules,1995,0.20973
157,멕시코,석유[100만 톤],100만 톤,1995,78.48871
158,멕시코,천연가스[exajoules],exajoules,1995,1.10485
159,멕시코,수력[exajoules],exajoules,1995,0.29379
160,멕시코,원자력[exajoules],exajoules,1995,0.08625
161,미국,전체[exajoules],exajoules,1995,87.63631
162,미국,석탄[exajoules],exajoules,1995,20.13499
163,미국,석유[100만 톤],100만 톤,1995,791.96388
164,미국,천연가스[exajoules],exajoules,1995,21.52739
165,미국,수력[exajoules],exajoules,1995,3.31299
166,미국,원자력[exajoules],exajoules,1995,7.24088
167,아르헨티나,전체[exajoules],exajoules,1995,2.26165
168,아르헨티나,석탄[exajoules],exajoules,1995,0.02669
169,아르헨티나,석유[100만 톤],100만 톤,1995,21.889
170,아르헨티나,천연가스[exajoules],exajoules,1995,0.94492
171,아르헨티나,수력[exajoules],exajoules,1995,0.28214
172,아르헨티나,원자력[exajoules],exajoules,1995,0.07218
173,브라질,전체[exajoules],exajoules,1995,6.88605
174,브라질,석탄[exajoules],exajoules,1995,0.49583
175,브라질,석유[100만 톤],100만 톤,1995,71.31633
176,브라질,천연가스[exajoules],exajoules,1995,0.1883
177,브라질,수력[exajoules],exajoules,1995,2.70286
178,브라질,원자력[exajoules],exajoules,1995,0.02573
179,칠레,전체[exajoules],exajoules,1995,0.83605
180,칠레,석탄[exajoules],exajoules,1995,0.09938
181,칠레,석유[100만 톤],100만 톤,1995,10.25719
182,칠레,천연가스[exajoules],exajoules,1995,0.07498
183,칠레,수력[exajoules],exajoules,1995,0.19602
184,콜롬비아,전체[exajoules],exajoules,1995,1.16541
185,콜롬비아,석탄[exajoules],exajoules,1995,0.15112
186,콜롬비아,석유[100만 톤],100만 톤,1995,11.87545
187,콜롬비아,천연가스[exajoules],exajoules,1995,0.1493
188,콜롬비아,수력[exajoules],exajoules,1995,0.34053
189,에콰도르,전체[exajoules],exajoules,1995,0.34135
190,에콰도르,석탄[exajoules],exajoules,1995,1e-05
191,에콰도르,석유[100만 톤],100만 톤,1995,6.388
192,에콰도르,천연가스[exajoules],exajoules,1995,0.01164
193,에콰도르,수력[exajoules],exajoules,1995,0.05493
194,페루,전체[exajoules],exajoules,1995,0.47996
195,페루,석탄[exajoules],exajoules,1995,0.01565
196,페루,석유[100만 톤],100만 톤,1995,7.213
197,페루,천연가스[exajoules],exajoules,1995,0.01389
198,페루,수력[exajoules],exajoules,1995,0.13772
199,트리니다드토바고,전체[exajoules],exajoules,1995,0.3203
200,트리니다드토바고,석유[100만 톤],100만 톤,1995,1.283
201,트리니다드토바고,천연가스[exajoules],exajoules,1995,0.26573
202,베네수엘라,전체[exajoules],exajoules,1995,2.61863
203,베네수엘라,석탄[exajoules],exajoules,1995,0.00021
204,베네수엘라,석유[100만 톤],100만 톤,1995,22.61424
205,베네수엘라,천연가스[exajoules],exajoules,1995,1.09894
206,베네수엘라,수력[exajoules],exajoules,1995,0.54769
207,오스트리아,전체[exajoules],exajoules,1995,1.32358
208,오스트리아,석탄[exajoules],exajoules,1995,0.14522
209,오스트리아,석유[100만 톤],100만 톤,1995,11.321
210,오스트리아,천연가스[exajoules],exajoules,1995,0.27417
211,오스트리아,수력[exajoules],exajoules,1995,0.39459
212,벨라루스,전체[exajoules],exajoules,1995,0.90254
213,벨라루스,석탄[exajoules],exajoules,1995,0.03985
214,벨라루스,석유[100만 톤],100만 톤,1995,10.566
215,벨라루스,천연가스[exajoules],exajoules,1995,0.41494
216,벨라루스,수력[exajoules],exajoules,1995,0.00021
217,벨라루스,원자력[exajoules],exajoules,1995,
218,벨기에,전체[exajoules],exajoules,1995,2.41963
219,벨기에,석탄[exajoules],exajoules,1995,0.37055
220,벨기에,석유[100만 톤],100만 톤,1995,27.1924
221,벨기에,천연가스[exajoules],exajoules,1995,0.44829
222,벨기에,수력[exajoules],exajoules,1995,0.0036
223,벨기에,원자력[exajoules],exajoules,1995,0.42245
224,불가리아,전체[exajoules],exajoules,1995,0.98157
225,불가리아,석탄[exajoules],exajoules,1995,0.32041
226,불가리아,석유[100만 톤],100만 톤,1995,6.338
227,불가리아,천연가스[exajoules],exajoules,1995,0.19058
228,불가리아,수력[exajoules],exajoules,1995,0.02314
229,불가리아,원자력[exajoules],exajoules,1995,0.17632
230,크로아티아,전체[exajoules],exajoules,1995,0.31626
231,크로아티아,석탄[exajoules],exajoules,1995,0.00732
232,크로아티아,석유[100만 톤],100만 톤,1995,3.919
233,크로아티아,천연가스[exajoules],exajoules,1995,0.08098
234,크로아티아,수력[exajoules],exajoules,1995,0.06049
235,체코,전체[exajoules],exajoules,1995,1.75037
236,체코,석탄[exajoules],exajoules,1995,0.98181
237,체코,석유[100만 톤],100만 톤,1995,7.98708
238,체코,천연가스[exajoules],exajoules,1995,0.2743
239,체코,수력[exajoules],exajoules,1995,0.02131
240,체코,원자력[exajoules],exajoules,1995,0.12493
241,덴마크,전체[exajoules],exajoules,1995,0.87703
242,덴마크,석탄[exajoules],exajoules,1995,0.27166
243,덴마크,석유[100만 톤],100만 톤,1995,10.581
244,덴마크,천연가스[exajoules],exajoules,1995,0.13372
245,덴마크,수력[exajoules],exajoules,1995,0.00032
246,에스토니아,전체[exajoules],exajoules,1995,0.2238
247,에스토니아,석탄[exajoules],exajoules,1995,0.14583
248,에스토니아,석유[100만 톤],100만 톤,1995,1.253
249,에스토니아,천연가스[exajoules],exajoules,1995,0.02439
250,에스토니아,수력[exajoules],exajoules,1995,
251,핀란드,전체[exajoules],exajoules,1995,1.19786
252,핀란드,석탄[exajoules],exajoules,1995,0.24698
253,핀란드,석유[100만 톤],100만 톤,1995,9.835
254,핀란드,천연가스[exajoules],exajoules,1995,0.11765
255,핀란드,수력[exajoules],exajoules,1995,0.13759
256,핀란드,원자력[exajoules],exajoules,1995,0.19629
257,프랑스,전체[exajoules],exajoules,1995,10.45511
258,프랑스,석탄[exajoules],exajoules,1995,0.64759
259,프랑스,석유[100만 톤],100만 톤,1995,90.10045
260,프랑스,천연가스[exajoules],exajoules,1995,1.23832
261,프랑스,수력[exajoules],exajoules,1995,0.77836
262,프랑스,원자력[exajoules],exajoules,1995,3.85344
263,독일,전체[exajoules],exajoules,1995,14.30926
264,독일,석탄[exajoules],exajoules,1995,3.79418
265,독일,석유[100만 톤],100만 톤,1995,135.11002
266,독일,천연가스[exajoules],exajoules,1995,2.79854
267,독일,수력[exajoules],exajoules,1995,0.22947
268,독일,원자력[exajoules],exajoules,1995,1.57414
269,그리스,전체[exajoules],exajoules,1995,1.14046
