,국가별,항목,연도,value
178,튀르키예,전체,1995,86247.0
179,튀르키예,가연성 연료,1995,50620.0
180,튀르키예,수력,1995,35541.0
181,튀르키예,풍력,1995,
182,튀르키예,태양열,1995,
183,튀르키예,기타,1995,86.0
184,투르크메니스탄,전체,1995,9818.0
185,투르크메니스탄,가연성 연료,1995,9814.0
186,투르크메니스탄,수력,1995,4.0
187,아랍에미리트,전체,1995,24982.0
188,아랍에미리트,가연성 연료,1995,24982.0
189,아랍에미리트,태양열,1995,
190,우즈베키스탄,전체,1995,47453.0
191,우즈베키스탄,가연성 연료,1995,41265.0
192,우즈베키스탄,수력,1995,6188.0
193,우즈베키스탄,풍력,1995,
194,우즈베키스탄,태양열,1995,
195,베트남,전체,1995,14648.0
196,베트남,가연성 연료,1995,4066.0
197,베트남,수력,1995,10582.0
198,베트남,풍력,1995,
199,베트남,태양열,1995,
200,예멘,전체,1995,2422.0
201,예멘,가연성 연료,1995,2422.0
202,예멘,태양열,1995,
203,캐나다,전체,1995,560848.0
204,캐나다,가연성 연료,1995,126874.0
205,캐나다,수력,1995,336034.0
206,캐나다,원자력,1995,97844.0
207,캐나다,풍력,1995,59.0
208,캐나다,태양열,1995,4.0
209,캐나다,기타,1995,33.0
210,멕시코,전체,1995,152248.0
211,멕시코,가연성 연료,1995,110596.0
212,멕시코,수력,1995,27528.0
213,멕시코,원자력,1995,8443.0
214,멕시코,풍력,1995,7.0
215,멕시코,태양열,1995,5.0
216,멕시코,기타,1995,5669.0
217,미국,전체,1995,3582114.0
218,미국,가연성 연료,1995,2511487.0
219,미국,수력,1995,337856.0
220,미국,원자력,1995,713806.0
221,미국,풍력,1995,3196.0
222,미국,태양열,1995,828.0
223,미국,기타,1995,14941.0
224,아르헨티나,전체,1995,67085.0
225,아르헨티나,가연성 연료,1995,33033.0
226,아르헨티나,수력,1995,26986.0
227,아르헨티나,원자력,1995,7066.0
228,아르헨티나,풍력,1995,
229,아르헨티나,태양열,1995,
230,볼리비아,전체,1995,3061.0
231,볼리비아,가연성 연료,1995,1756.0
232,볼리비아,수력,1995,1305.0
233,볼리비아,풍력,1995,
234,볼리비아,태양열,1995,
235,브라질,전체,1995,275601.0
236,브라질,가연성 연료,1995,19177.0
237,브라질,수력,1995,253905.0
238,브라질,원자력,1995,2519.0
239,브라질,풍력,1995,
240,브라질,태양열,1995,
241,브라질,기타,1995,
242,칠레,전체,1995,28027.0
243,칠레,가연성 연료,1995,9613.0
244,칠레,수력,1995,18414.0
245,칠레,풍력,1995,
246,칠레,태양열,1995,
247,칠레,기타,1995,
248,콜롬비아,전체,1995,45246.0
249,콜롬비아,가연성 연료,1995,13044.0
250,콜롬비아,수력,1995,32202.0
251,콜롬비아,풍력,1995,
252,콜롬비아,태양열,1995,
253,코스타리카,전체,1995,4863.0
254,코스타리카,가연성 연료,1995,752.0
255,코스타리카,수력,1995,3620.0
256,코스타리카,풍력,1995,0.0
257,코스타리카,태양열,1995,23.0
258,코스타리카,기타,1995,468.0
259,쿠바,전체,1995,12459.0
260,쿠바,가연성 연료,1995,12385.0
261,쿠바,수력,1995,74.0
262,쿠바,풍력,1995,
263,쿠바,태양열,1995,
264,도미니카공화국,전체,1995,5477.0
265,도미니카공화국,가연성 연료,1995,4873.0
266,도미니카공화국,수력,1995,604.0
267,도미니카공화국,풍력,1995,
268,도미니카공화국,태양열,1995,
269,에콰도르,전체,1995,8429.0
270,에콰도르,가연성 연료,1995,3268.0
271,에콰도르,수력,1995,5161.0
272,에콰도르,풍력,1995,
273,에콰도르,태양열,1995,
274,에콰도르,기타,1995,
275,엘살바도르,전체,1995,3449.0
276,엘살바도르,가연성 연료,1995,1535.0
277,엘살바도르,수력,1995,1471.0
278,엘살바도르,풍력,1995,
279,엘살바도르,태양열,1995,
280,엘살바도르,기타,1995,443.0
281,과테말라,전체,1995,3413.0
282,과테말라,가연성 연료,1995,1509.0
283,과테말라,수력,1995,1904.0
284,과테말라,풍력,1995,
285,과테말라,태양열,1995,
286,과테말라,기타,1995,
287,아이티,전체,1995,495.0
288,아이티,가연성 연료,1995,242.0
289,아이티,수력,1995,253.0
290,아이티,태양열,1995,
291,온두라스,전체,1995,2838.0
292,온두라스,가연성 연료,1995,745.0
293,온두라스,수력,1995,2093.0
294,온두라스,풍력,1995,
295,온두라스,태양열,1995,
296,온두라스,기타,1995,
297,자메이카,전체,1995,5829.0
298,자메이카,가연성 연료,1995,5709.0
299,자메이카,수력,1995,120.0
300,자메이카,풍력,1995,
301,자메이카,태양열,1995,
302,네덜란드령 안틸레스,전체,1995,1010.0
303,네덜란드령 안틸레스,가연성 연료,1995,1010.0
304,니카라과,전체,1995,1786.0
305,니카라과,가연성 연료,1995,901.0
306,니카라과,수력,1995,335.0
307,니카라과,풍력,1995,
308,니카라과,태양열,1995,
309,니카라과,기타,1995,550.0
310,파나마,전체,1995,3535.0
311,파나마,가연성 연료,1995,1117.0
312,파나마,수력,1995,2418.0
313,파나마,풍력,1995,
314,파나마,태양열,1995,
315,파라과이,전체,1995,39855.0
316,파라과이,가연성 연료,1995,143.0
317,파라과이,수력,1995,39712.0
318,페루,전체,1995,17440.0
319,페루,가연성 연료,1995,3658.0
320,페루,수력,1995,13782.0
321,페루,풍력,1995,
322,페루,태양열,1995,
323,수리남,전체,1995,1401.8
324,수리남,가연성 연료,1995,209.0
325,수리남,수력,1995,1192.8
326,수리남,태양열,1995,
327,트리니다드토바고,전체,1995,4307.0
328,트리니다드토바고,가연성 연료,1995,4307.0
329,트리니다드토바고,풍력,1995,
330,트리니다드토바고,태양열,1995,
331,우루과이,전체,1995,6306.0
332,우루과이,가연성 연료,1995,451.0
333,우루과이,수력,1995,5855.0
334,우루과이,풍력,1995,
335,우루과이,태양열,1995,
336,베네수엘라,전체,1995,75446.0
337,베네수엘라,가연성 연료,1995,21996.0
338,베네수엘라,수력,1995,53450.0
339,베네수엘라,풍력,1995,
340,베네수엘라,태양열,1995,
341,베네수엘라,기타,1995,
342,퀴라소,전체,1995,
343,퀴라소,가연성 연료,1995,
344,퀴라소,풍력,1995,
345,퀴라소,태양열,1995,
346,알바니아,전체,1995,4414.0
347,알바니아,가연성 연료,1995,210.0
348,알바니아,수력,1995,4204.0
349,알바니아,태양열,1995,
350,오스트리아,전체,1995,56225.0
351,오스트리아,가연성 연료,1995,18109.0
352,오스트리아,수력,1995,38114.0
353,오스트리아,풍력,1995,1.0
354,오스트리아,태양열,1995,1.0
355,오스트리아,기타,1995,
356,벨라루스,전체,1995,24918.0
357,벨라루스,가연성 연료,1995,24898.0
358,벨라루스,수력,1995,20.0
359,벨라루스,원자력,1995,
360,벨라루스,풍력,1995,
361,벨라루스,태양열,1995,
362,벨기에,전체,1995,74408.0
363,벨기에,가연성 연료,1995,31813.0
364,벨기에,수력,1995,1230.0
365,벨기에,원자력,1995,41356.0
366,벨기에,풍력,1995,9.0
367,벨기에,태양열,1995,
368,벨기에,기타,1995,
369,보스니아-헤르체고비나,전체,1995,4401.0
370,보스니아-헤르체고비나,가연성 연료,1995,758.0
371,보스니아-헤르체고비나,수력,1995,3643.0
372,보스니아-헤르체고비나,풍력,1995,
373,보스니아-헤르체고비나,태양열,1995,
374,불가리아,전체,1995,41789.0
375,불가리아,가연성 연료,1995,22214.0
376,불가리아,수력,1995,2314.0
377,불가리아,원자력,1995,17261.0
378,불가리아,풍력,1995,
379,불가리아,태양열,1995,
380,불가리아,기타,1995,
381,크로아티아,전체,1995,9277.0
382,크로아티아,가연성 연료,1995,3594.0
383,크로아티아,수력,1995,5683.0
384,크로아티아,풍력,1995,
385,크로아티아,태양열,1995,
386,크로아티아,기타,1995,
387,체코,전체,1995,60847.0
388,체코,가연성 연료,1995,46343.0
389,체코,수력,1995,2274.0
390,체코,원자력,1995,12230.0
391,체코,풍력,1995,
392,체코,태양열,1995,
393,체코,기타,1995,
394,덴마크,전체,1995,36759.0
395,덴마크,가연성 연료,1995,35529.0
396,덴마크,수력,1995,30.0
397,덴마크,풍력,1995,1177.0
398,덴마크,태양열,1995,
399,덴마크,기타,1995,23.0
400,에스토니아,전체,1995,8702.0
401,에스토니아,가연성 연료,1995,8700.0
402,에스토니아,수력,1995,2.0
403,에스토니아,풍력,1995,
404,에스토니아,태양열,1995,
405,핀란드,전체,1995,64035.0
406,핀란드,가연성 연료,1995,31882.0
407,핀란드,수력,1995,12925.0
408,핀란드,원자력,1995,19216.0
409,핀란드,풍력,1995,11.0
410,핀란드,태양열,1995,1.0
411,핀란드,기타,1995,
412,프랑스,전체,1995,494274.0
413,프랑스,가연성 연료,1995,40338.0
414,프랑스,수력,1995,76192.0
415,프랑스,원자력,1995,377231.0
416,프랑스,풍력,1995,5.0
417,프랑스,태양열,1995,1.0
418,프랑스,기타,1995,507.0
419,독일,전체,1995,537284.0
420,독일,가연성 연료,1995,356224.0
421,독일,수력,1995,26250.0
422,독일,원자력,1995,153091.0
423,독일,풍력,1995,1712.0
424,독일,태양열,1995,7.0
425,독일,기타,1995,
426,지브롤터,전체,1995,108.0
427,지브롤터,가연성 연료,1995,108.0
428,지브롤터,기타,1995,
429,그리스,전체,1995,41552.0
430,그리스,가연성 연료,1995,37736.0
431,그리스,수력,1995,3782.0
432,그리스,풍력,1995,34.0
433,그리스,태양열,1995,
434,헝가리,전체,1995,34018.0
435,헝가리,가연성 연료,1995,19829.0
436,헝가리,수력,1995,163.0
437,헝가리,원자력,1995,14026.0
438,헝가리,풍력,1995,
439,헝가리,태양열,1995,
440,헝가리,기타,1995,
441,아이슬란드,전체,1995,4981.0
442,아이슬란드,가연성 연료,1995,9.0
443,아이슬란드,수력,1995,4682.0
444,아이슬란드,풍력,1995,
445,아이슬란드,기타,1995,290.0
446,아일랜드,전체,1995,17859.0
