,year,month,wti,coal,lng,date,m2,unemploy,interest,wti_modified,dollar_idx
0,1995,01,1.0,1.0,1.0,1995-01-01,1.0,5.6,4.94,1.0,1.0
1,1995,02,1.0314916428553362,1.013477088948787,1.047337278106509,1995-02-01,0.9992841598900469,5.4,5.25,1.0197863218166217,0.9879443279278257
2,1995,03,1.0314045697964225,1.0336927223719676,1.1242603550295858,1995-03-01,0.9996277631428244,5.4,5.56,0.9775105442916161,0.9473941724260745
3,1995,04,1.0994715149063135,1.0,1.1301775147928994,1995-04-01,1.0019470850990722,5.8,6.3,1.0158105222020501,0.9257069218569403
4,1995,05,1.0955483898630263,1.0450134770889488,1.0976331360946745,1995-05-01,1.0091054861986026,5.6,6.1,1.0167995970684662,0.9365702704328774
5,1995,06,1.024502490707257,1.098921832884097,1.13905325443787,1995-06-01,1.0161779864849387,5.6,6.04,0.9385450050172335,0.9309189407294756
6,1995,07,0.9634587898425848,1.1064690026954176,1.0710059171597635,1995-07-01,1.0214752032985912,5.7,6.11,0.8743218443133601,0.9269707153891947
7,1995,08,1.0031300126102027,1.1018867924528302,0.9822485207100592,1995-08-01,1.0276600618485854,5.7,5.55,0.935374464303254,0.9582476526011307
8,1995,09,1.0133403653518962,1.103234501347709,0.9911242603550297,1995-09-01,1.0314110640247394,5.6,5.72,0.9534657375757949,0.9704687038324772
9,1995,10,0.9703896629327147,1.1043126684636118,1.0147928994082842,1995-10-01,1.0346466613217271,5.5,6.2,0.8929908760756781,0.9521227026781801
10,1995,11,1.000202290944948,1.0671159029649597,1.0088757396449706,1995-11-01,1.0365078456076051,5.6,5.76,0.9198126101671761,0.9532001631653564
11,1995,12,1.0595132735370936,1.0606469002695418,1.0207100591715976,1995-12-01,1.0392566716298248,5.6,5.56,0.9821165234876801,0.9633396530701673
12,1996,01,1.0514555603074383,1.061185983827493,1.0621301775147929,1996-01-01,1.044525254839079,5.6,4.73,0.9823464096523504,0.9758716132352331
13,1996,02,1.061394097680035,1.0587601078167115,1.1272189349112427,1996-02-01,1.048505325850418,5.5,5.27,0.9899101346943993,0.9778894103604416
14,1996,03,1.1868000341968008,1.0514824797843665,1.1124260355029585,1996-03-01,1.0556923605543467,5.5,5.81,1.102163963294198,0.9804061700381124
15,1996,04,1.3090752775178904,1.0601078167115903,1.1301775147928994,1996-04-01,1.0587847898293437,5.6,5.53,1.2251312710746145,0.9908905756875886
16,1996,05,1.1830810010323414,1.0296495956873315,1.1301775147928994,1996-05-01,1.0621921887527201,5.6,5.41,1.1144585105791702,1.0005816369236287
17,1996,06,1.13702177156295,1.0296495956873315,1.121301775147929,1996-06-01,1.065885923720078,5.3,5.31,1.0650575591794373,0.9984240308086093
18,1996,07,1.1854271362308568,1.0350404312668462,1.121301775147929,1996-07-01,1.0700664299622036,5.5,7.8,1.0947507759842428,0.9882143058412952
19,1996,08,1.2198396844261268,1.0336927223719676,1.1449704142011834,1996-08-01,1.072042148665674,5.1,6.29,1.1151755660244071,0.980059285825493
20,1996,09,1.3301135357928535,1.0269541778975741,1.1272189349112427,1996-09-01,1.0747337074790975,5.2,5.28,1.2258510291152334,0.9904894476190477
21,1996,10,1.3852356194775395,1.013477088948787,1.1952662721893492,1996-10-01,1.080288626732333,5.2,5.53,1.2782737243091582,0.996873417637638
22,1996,11,1.318802100454313,0.9622641509433962,1.304733727810651,1996-11-01,1.0866739205131142,5.4,5.19,1.1962771593571673,0.9857151352209108
23,1996,12,1.4194755607252103,0.9528301886792453,1.2781065088757397,1996-12-01,1.0934028175466728,5.4,5.44,1.3048039361836439,1.005072816780513
24,1997,01,1.4018036876319961,0.9495956873315363,1.2692307692307694,1997-01-01,1.097984194250372,5.3,6.26,1.315153836366777,1.0301143719901151
25,1997,02,1.2359319290970232,0.9326145552560647,1.3017751479289943,1997-02-01,1.1013343259649524,5.2,5.37,1.2015332490163848,1.0706817906199253
26,1997,03,1.166667268723052,0.9299191374663073,1.2159763313609468,1997-03-01,1.1056007330202726,5.2,5.5,1.1424872987650547,1.0826864084080545
27,1997,04,1.0967709307912075,0.954177897574124,1.1005917159763314,1997-04-01,1.1101248425151757,5.1,6.18,1.078753594020841,1.0918881327490655
28,1997,05,1.1601385692972883,0.9630727762803233,1.1035502958579881,1997-05-01,1.1136181422517466,4.9,5.73,1.1236337589167704,1.0785771392241268
29,1997,06,1.0656325746218789,0.9299191374663073,1.0828402366863905,1997-06-01,1.118428587790631,5.0,5.58,1.0300441635716593,1.0810769740538484
30,1997,07,1.0917752239767513,0.9433962264150944,1.0355029585798816,1997-07-01,1.1235540029778948,4.9,6.24,1.0728968704264186,1.1041261489331322
31,1997,08,1.1085471536580362,0.9954177897574124,1.0147928994082842,1997-08-01,1.1331462604512657,4.8,5.65,1.1078864789350944,1.1324709250907392
32,1997,09,1.1004880269046937,1.0013477088948786,1.0355029585798816,1997-09-01,1.1376417363417706,4.9,5.52,1.077657541990135,1.1140404686634877
33,1997,10,1.1829116923066791,1.0013477088948786,1.0355029585798816,1997-10-01,1.14313938838621,4.7,5.65,1.1378210762199312,1.0995648260324895
34,1997,11,1.1164942979239887,0.9056603773584906,1.0739644970414202,1997-11-01,1.1495819493757875,4.6,5.56,1.0605021003564858,1.091930405835288
35,1997,12,1.018561293606616,0.8463611859838274,1.0828402366863905,1997-12-01,1.1547646317718474,4.7,5.92,0.9874922184521454,1.119540959563368
36,1998,01,0.9316256606063676,0.8463611859838274,1.0236686390532546,1998-01-01,1.1614362615966096,4.6,5.84,0.9134984438682967,1.138837477845083
37,1998,02,0.8934735883884993,0.9013477088948786,0.8816568047337279,1998-02-01,1.1707994502347956,4.6,5.48,0.8639211717334933,1.1320742393024876
38,1998,03,0.8355880344906033,0.859299191374663,0.8313609467455622,1998-03-01,1.1780723857519184,4.7,5.57,0.8073717412717646,1.1382910168269105
