,date,dollar_idx
0,1995-01-02,88.7300033569336
1,1995-01-03,89.11000061035156
2,1995-01-04,89.30999755859375
3,1995-01-05,88.9800033569336
4,1995-01-06,89.61000061035156
5,1995-01-09,88.41000366210938
6,1995-01-10,88.43000030517578
7,1995-01-11,88.41999816894531
8,1995-01-12,88.0999984741211
9,1995-01-13,88.13999938964844
10,1995-01-16,88.0199966430664
11,1995-01-17,88.30000305175781
12,1995-01-18,88.44999694824219
13,1995-01-19,87.54000091552734
14,1995-01-20,87.44999694824219
15,1995-01-23,87.37999725341797
16,1995-01-24,87.41000366210938
17,1995-01-25,87.62999725341797
18,1995-01-26,87.62000274658203
19,1995-01-27,87.62000274658203
20,1995-01-30,87.0999984741211
21,1995-01-31,87.98999786376953
22,1995-02-01,87.77999877929688
23,1995-02-02,87.69000244140625
24,1995-02-03,88.19000244140625
25,1995-02-06,88.19000244140625
26,1995-02-07,88.43000030517578
27,1995-02-08,88.20999908447266
28,1995-02-09,88.12000274658203
29,1995-02-10,87.76000213623047
30,1995-02-13,87.77999877929688
31,1995-02-14,87.33999633789062
32,1995-02-15,87.4000015258789
33,1995-02-16,86.61000061035156
34,1995-02-17,86.43000030517578
35,1995-02-20,86.43000030517578
36,1995-02-21,86.11000061035156
37,1995-02-22,85.94000244140625
38,1995-02-23,85.77999877929688
39,1995-02-24,85.83000183105469
40,1995-02-27,86.19999694824219
41,1995-02-28,85.93000030517578
42,1995-03-01,85.9800033569336
43,1995-03-02,85.05000305175781
44,1995-03-03,84.37000274658203
45,1995-03-06,83.48999786376953
46,1995-03-07,81.91000366210938
47,1995-03-08,83.25
48,1995-03-09,83.0199966430664
49,1995-03-10,84.2300033569336
50,1995-03-13,83.79000091552734
51,1995-03-14,84.05999755859375
52,1995-03-15,83.11000061035156
53,1995-03-16,83.4800033569336
54,1995-03-17,83.29000091552734
55,1995-03-20,83.75
56,1995-03-21,83.61000061035156
57,1995-03-22,83.43000030517578
58,1995-03-23,83.38999938964844
59,1995-03-24,83.87000274658203
60,1995-03-27,83.44999694824219
61,1995-03-28,82.7300033569336
62,1995-03-29,82.47000122070312
63,1995-03-30,83.61000061035156
64,1995-03-31,81.9000015258789
65,1995-04-03,81.87999725341797
66,1995-04-04,82.04000091552734
67,1995-04-05,81.63999938964844
68,1995-04-06,81.72000122070312
69,1995-04-07,81.44000244140625
70,1995-04-10,82.6500015258789
71,1995-04-11,82.4000015258789
72,1995-04-12,82.37000274658203
73,1995-04-13,81.73999786376953
74,1995-04-14,81.73999786376953
75,1995-04-17,80.83999633789062
76,1995-04-18,80.2699966430664
77,1995-04-19,81.22000122070312
78,1995-04-20,81.97000122070312
79,1995-04-21,81.37999725341797
80,1995-04-24,81.61000061035156
81,1995-04-25,80.95999908447266
82,1995-04-26,81.33000183105469
83,1995-04-27,81.4000015258789
84,1995-04-28,81.80000305175781
85,1995-05-01,81.75
86,1995-05-02,81.41000366210938
87,1995-05-03,81.27999877929688
88,1995-05-04,81.2699966430664
89,1995-05-05,81.30000305175781
90,1995-05-08,80.80000305175781
91,1995-05-09,81.31999969482422
92,1995-05-10,81.55000305175781
93,1995-05-11,83.43000030517578
94,1995-05-12,84.04000091552734
95,1995-05-15,83.70999908447266
96,1995-05-16,83.86000061035156
97,1995-05-17,84.16999816894531
98,1995-05-18,84.01000213623047
99,1995-05-19,84.23999786376953
100,1995-05-22,84.1500015258789
101,1995-05-23,84.43000030517578
102,1995-05-24,84.11000061035156
103,1995-05-25,82.20999908447266
104,1995-05-26,81.0999984741211
105,1995-05-29,81.0999984741211
106,1995-05-30,81.4800033569336
107,1995-05-31,82.56999969482422
108,1995-06-01,82.54000091552734
109,1995-06-02,82.52999877929688
110,1995-06-05,82.37999725341797
111,1995-06-06,82.55000305175781
112,1995-06-07,82.4000015258789
113,1995-06-08,82.30999755859375
114,1995-06-09,82.18000030517578
115,1995-06-12,82.29000091552734
116,1995-06-13,82.4800033569336
117,1995-06-14,82.01000213623047
118,1995-06-15,82.41000366210938
119,1995-06-16,82.12000274658203
120,1995-06-19,82.16999816894531
121,1995-06-20,81.80000305175781
122,1995-06-21,81.5
123,1995-06-22,82.04000091552734
124,1995-06-23,81.43000030517578
125,1995-06-26,81.70999908447266
126,1995-06-27,81.55999755859375
127,1995-06-28,82.30000305175781
128,1995-06-29,81.45999908447266
129,1995-06-30,81.58000183105469
130,1995-07-03,81.56999969482422
131,1995-07-04,81.45999908447266
132,1995-07-05,81.37999725341797
133,1995-07-06,81.33000183105469
134,1995-07-07,81.86000061035156
135,1995-07-10,81.88999938964844
136,1995-07-11,82.31999969482422
137,1995-07-12,82.29000091552734
138,1995-07-13,81.87000274658203
139,1995-07-14,81.91000366210938
140,1995-07-17,82.16000366210938
141,1995-07-18,81.87000274658203
142,1995-07-19,81.38999938964844
143,1995-07-20,81.66999816894531
144,1995-07-21,81.80000305175781
145,1995-07-24,81.63999938964844
146,1995-07-25,81.9000015258789
147,1995-07-26,81.58000183105469
148,1995-07-27,81.48999786376953
149,1995-07-28,81.41000366210938
150,1995-07-31,81.56999969482422
151,1995-08-01,81.16000366210938
152,1995-08-02,82.22000122070312
153,1995-08-03,81.88999938964844
154,1995-08-04,82.08000183105469
155,1995-08-07,82.55999755859375
156,1995-08-08,82.63999938964844
157,1995-08-09,82.63999938964844
158,1995-08-10,83.16000366210938
159,1995-08-11,84.08999633789062
160,1995-08-14,84.0199966430664
161,1995-08-15,85.91000366210938
162,1995-08-16,86.12000274658203
163,1995-08-17,85.81999969482422
164,1995-08-18,85.95999908447266
